question_id,claim_id,query_type,query_text,retrieval_method,retrieval_rank,retrieval_score,score_type,ts_config,doc_id,chunk_id,page_num,topic,source,lang,content
Q001,"",question,¿Qué es la astenia?,lexical_spanish,1,0.7,ts_rank_cd,spanish,general_es_gepac_guia-toxicidad-quimioterapia_v1,p009_c00,9,general,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"1. ASTENIA
Astenia es el término médico para denominar al cansancio (falta de energía) ya
sea físico o emocional. Al tratarse de un efecto secundario subjetivo, es muy
importante que el paciente informe de su presencia. El paciente puede experimentar incapacidad para realizar su actividad física habitual, difi cultad para
concentrarse, cansancio que no disminuye pese al descanso…
Tratamiento de la astenia
La utilización de fármacos para tratar la astenia es controvertido. Entre los fármacos que han demostrado utilidad son:
• Corticoides: Producen una mejoría rápida de la astenia. Pueden producir
además sensación de euforia y aumento de apetito. Sin embargo, no se recomienda su utilización de forma prolongada por los posibles efectos secundarios a largo plazo como son osteoporosis, atrofi a muscular, síndrome de
Cushing, diabetes corticoidea, infecciones…
• Progestágenos: Acetato de megestrol.
Mejora el apetito, disminuyendo la sensación de astenia y aumentado el
peso. El efecto de este fármaco tarda varios días en aparecer. Tiene un riesgo
aumentado de aparición de fenómenos tromboembólicos.
• Psicoestimulantes: Proporcionan sensación de bienestar. Son útiles para contrarrestar los efectos secundarios de los opiáceos. De escasa utilidad en la
práctica clínica por sus efectos secundarios: alteraciones emocionales, insomnio, alucinaciones.
• Tratamientos complementarios:
Existen estudios que han sugerido cierto benefi cio de los tratamientos con
Ginseng.
Consejos sobre hábitos de vida para disminuir la astenia
1. Hacer una lista de las actividades que desea realizar, establec"
Q001,"",question,¿Qué es la astenia?,lexical_spanish,2,0.3,ts_rank_cd,spanish,general_es_gepac_guia-toxicidad-quimioterapia_v1,p007_c00,7,general,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"Índice
 1. ASTENIA ................................................................................................. 7

 Tratamiento de la astenia ......................................................................... 7

 Consejos sobre hábitos de vida en la astenia ........................................... 7
 2. NÁUSEAS Y VÓMITOS ............................................................................ 8

 Tratamiento de las náuseas y vómitos .................................................... 10

 Consejos para los pacientes ................................................................... 11
 3. MUCOSITIS .......................................................................................... 12

 Tratamiento de la mucositis ................................................................... 12

 Consejos para los pacientes ................................................................... 13
 4. DIARREA ............................................................................................... 14

 Tratamiento de la diarrea ....................................................................... 14

 Consejos para los pacientes ................................................................... 15
 5. ESTREÑIMIENTO .................................................................................. 15

 Tratamiento del estreñimiento ............................................................... 15

 Consejos para los pacientes ................................................................... 16
 6. ESOFAGITITIS ........................................."
Q001,"",question,¿Qué es la astenia?,lexical_spanish,3,0.2,ts_rank_cd,spanish,mama_es_esmo_guia-para-pacientes_v1,p041_c00,41,mama,C:\Users\mamen\Documents\Python\RAGChatBot\docs\mama\mama_es_esmo_guia-para-pacientes_v1.pdf,es,"MEDICAMENTO DE
QUIMIOTERAPIA
POSIBLES EFECTOS
SECUNDARIOS
CÓMO PUEDEN CONTROLARSE LOS EFECTOS
SECUNDARIOS
Capecitabina
(Xeloda, RCP, 2017)
•	 Anorexia
•	 Astenia
•	 Diarrea
•	 Dolor abdominal
•	 Estomatitis
•	 Fatiga
•	 Náuseas
•	 Síndrome mano-pie
•	 Vómitos
•	 Los efectos en el sistema gastrointestinal (náuseas, vómitos,
diarrea o dolor abdominal) y la estomatitis pueden provocar
la pérdida del apetito (anorexia) o sensación de debilidad
(astenia). Su médico podrá ayudarle a prevenir o controlar estos
efectos secundarios. La diarrea puede ser un efecto secundario
temporal y leve, pero si es grave, su médico puede recetarle un
medicamento antidiarreico.
•	 Para prevenir y tratar la estomatitis puede mantener una buena
higiene oral usando un enjuague bucal con esteroides y una
pasta dental suave. La pasta dental con esteroides se puede
utilizar para tratar las úlceras en desarrollo. En el caso de
estomatitis más grave (de grado 2 o superior), su médico podrá
sugerir que se reduzca la dosis del tratamiento o que se retrase la
terapia hasta que la estomatitis se resuelva, pero en la mayoría
de los casos los síntomas serán leves y remitirán una vez haya
terminado el tratamiento.
•	 Para prevenir y tratar el síndrome mano-pie puede intentar
mantener las manos y los pies frescos exponiéndolos al agua
fría (poniéndolos en remojo, bañándose o nadando), evitando
el exceso de calor y el agua caliente y manteniéndolos sin
restricciones (sin calcetines, guantes ni zapatos que se ajusten
apretándolos). Su esquema de tratamiento puede necesitar
ajustes si experimenta un síndrome mano-pi"
Q001,"",question,¿Qué es la astenia?,lexical_spanish,4,0.2,ts_rank_cd,spanish,mama_es_esmo_guia-para-pacientes_v1,p043_c00,43,mama,C:\Users\mamen\Documents\Python\RAGChatBot\docs\mama\mama_es_esmo_guia-para-pacientes_v1.pdf,es,"MEDICAMENTO DE
QUIMIOTERAPIA
POSIBLES EFECTOS
SECUNDARIOS
CÓMO PUEDEN CONTROLARSE LOS EFECTOS
SECUNDARIOS
Docetaxel
(Taxotere RCP, 2005)
•	 Alopecia
•	 Anemia
•	 Anorexia
•	 Astenia
•	 Aumento de las
infecciones
•	 Daño tisular relacionado
con la extravasación
•	 Diarrea
•	 Edema
•	 Estomatitis
•	 Náuseas
•	 Neuropatía periférica
•	 Neutropenia
•	 Reacción cutánea
•	 Trastornos de las uñas
•	 Trombocitopenia
•	 Vómitos
•	 Sus recuentos de glóbulos sanguíneos se monitorearán
frecuentemente durante el tratamiento con el fin de detectar
la aparición de neutropenia, anemia o trombocitopenia.
Su médico podrá ajustar su tratamiento de acuerdo con los
resultados de las pruebas y le asesorará sobre cómo prevenir
las infecciones.
•	 Informe de cualquier signo de neuropatía periférica a su
médico, él le ayudará a controlar este efecto secundario.
•	 Los efectos en el sistema gastrointestinal (náuseas, vómitos
y diarrea) y la estomatitis pueden provocar la pérdida del
apetito (anorexia) o sensación de debilidad (astenia). Su
médico podrá ayudarle a prevenir o controlar estos efectos
secundarios.
•	 Informe a su médico si experimenta algún cambio en las
uñas, reacciones cutáneas o retención de líquidos/hinchazón
(edema), él le ayudará a controlar estos efectos secundarios.
•	 La alopecia puede causar angustia a muchas/os pacientes,
su médico le proporcionará información sobre cómo lidiar
con este efecto secundario. Algunos hospitales pueden
proporcionar gorros fríos para reducir la pérdida de cabello.
•	 Informe a su médico si experimenta alguna quemadura o
cambios en la piel en el sit"
Q001,"",question,¿Qué es la astenia?,lexical_spanish,5,0.2,ts_rank_cd,spanish,mama_es_esmo_guia-para-pacientes_v1,p051_c00,51,mama,C:\Users\mamen\Documents\Python\RAGChatBot\docs\mama\mama_es_esmo_guia-para-pacientes_v1.pdf,es,"TERAPIA
POSIBLES EFECTOS
SECUNDARIOS
CÓMO PUEDEN CONTROLARSE LOS EFECTOS
SECUNDARIOS
Fulvestrant
(Faslodex RCP, 2017)
•	 Astenia
•	 Aumento de la sudoración
•	 Aumento de las enzimas
hepáticas
•	 Dolor articular y
musculoesquelético
•	 Náuseas
•	 Reacciones de
hipersensibilidad
•	 Reacciones en el sitio de
la inyección
•	 Sarpullido
•	 Sofocos
•	 Informe a su médico si experimenta alguna reacción cutánea,
hipersensibilidad o dolor articular o musculoesquelético, él le
ayudará a controlar estos efectos secundarios.
•	 Su médico podrá ayudarle a controlar los sofocos, el aumento
de la sudoración y las náuseas.
Análogos de la
hormona liberadora
de gonadotropina
(por ejemplo,
goserelina) (Zoladex
RCP, 2017)
•	 Acné
•	 Agrandamiento de los
senos
•	 Aumento de la sudoración
•	 Disminución del deseo
sexual
•	 Reacciones en el sitio de
la inyección
•	 Sequedad vaginal
•	 Sofocos
•	 Informe a su médico si experimenta alguna reacción cutánea, él
le ayudará a controlar este efecto secundario.
•	 Su médico podrá ayudarle a controlar los sofocos, la sequedad
vaginal y el aumento de la sudoración.
Letrozol
(Femara RCP, 2015)
•	 Artralgia/ rigidez
articular
•	 Astenia
•	 Aumento de la sudoración
•	 Dolor de cabeza
•	 Hipercolesterolemia
•	 Náuseas
•	 Osteoporosis
•	 Sarpullido
•	 Sofocos
•	 Si está en riesgo de padecer osteoporosis, lo cual es más
común en edades avanzadas, se le hará una prueba de densidad
mineral ósea al comienzo del tratamiento y a intervalos regulares a
partir de ese momento. Se le aconsejará que ingiera una cantidad
adecuada de calcio y vitamina D3 y puede que se le"
Q001,"",question,¿Qué es la astenia?,lexical_spanish,6,0.2,ts_rank_cd,spanish,mama_es_esmo_guia-para-pacientes_v1,p055_c00,55,mama,C:\Users\mamen\Documents\Python\RAGChatBot\docs\mama\mama_es_esmo_guia-para-pacientes_v1.pdf,es,"TERAPIA*
POSIBLES EFECTOS
SECUNDARIOS
CÓMO PUEDEN CONTROLARSE LOS EFECTOS
SECUNDARIOS
T-DM1
(Kadcyla RCP, 2013)
•	 Anemia
•	 Artralgia
•	 Astenia
•	 Aumento de las enzimas
hepáticas
•	 Boca seca
•	 Diarrea
•	 Disnea
•	 Dolor abdominal
•	 Dolor de cabeza
•	 Dolor musculoesquelético
•	 Escalofríos
•	 Estomatitis
•	 Estreñimiento
•	 Fatiga
•	 Fiebre
•	 Infección del tracto
urinario
•	 Insomnio
•	 Mialgia
•	 Náuseas
•	 Neuropatía periférica
•	 Potasio bajo
•	 Sangrado
•	 Sangrado nasal
•	 Sarpullido
•	 Trombocitopenia
•	 Vómitos
•	 Los efectos en el sistema gastrointestinal (náuseas, vómitos,
diarrea, estreñimiento y estomatitis) pueden provocar
sensaciones de debilidad (astenia). Su médico podrá ayudarle
a prevenir o controlar estos efectos secundarios.
•	 Informe a su médico si experimenta problemas respiratorios.
Los problemas de disnea pueden tratarse con medicamentos
denominados opioides o benzodiacepinas, y en algunos casos
utilizando esteroides (Kloke y Cherny 2015).
•	 Para prevenir y tratar la estomatitis, puede mantener una
buena higiene oral usando un enjuague bucal con esteroides
y una pasta dental suave. La pasta dental con esteroides se
puede utilizar para tratar las úlceras en desarrollo. En el caso
de estomatitis más grave (de grado 2 o superior), su médico
podrá sugerir que se reduzca la dosis del tratamiento o que se
retrase la terapia hasta que la estomatitis se resuelva, pero
en la mayoría de los casos los síntomas serán leves y remitirán
una vez haya terminado el tratamiento.
•	 Informe de cualquier signo de neuropatía periférica a su
médico, él le ayudará"
Q001,"",question,¿Qué es la astenia?,lexical_spanish,7,0.2,ts_rank_cd,spanish,mama_es_esmo_guia-para-pacientes_v1,p059_c00,59,mama,C:\Users\mamen\Documents\Python\RAGChatBot\docs\mama\mama_es_esmo_guia-para-pacientes_v1.pdf,es,"TERAPIA*
POSIBLES EFECTOS
SECUNDARIOS
CÓMO PUEDEN CONTROLARSE LOS EFECTOS
SECUNDARIOS
Ribociclib
(Kisqali RCP, 2017)
•	 Alopecia
•	 Anemia
•	 Anorexia
•	 Astenia
•	 Diarrea
•	 Disnea
•	 Dolor abdominal
•	 Dolor de cabeza
•	 Dolor de espalda
•	 Edema
•	 Efectos cardíacos
•	 Estomatitis
•	 Estreñimiento
•	 Fatiga
•	 Fiebre
•	 Función hepática
anormal
•	 Insomnio
•	 Linfopenia
•	 Náuseas
•	 Neutropenia
•	 Prurito
•	 Sarpullido
•	 Vómitos
•	 Sus recuentos de glóbulos sanguíneos se monitorearán
frecuentemente durante el tratamiento con el fin de detectar la
aparición de anemia, neutropenia o linfopenia. Su médico
podrá ajustar su tratamiento de acuerdo con los resultados de
las pruebas y le asesorará sobre cómo prevenir las infecciones.
Informe a su médico si experimenta fiebre, ya que puede ser un
signo de infección.
•	 Su función cardíaca se evaluará antes de que comience el
tratamiento.
•	 Los efectos en el sistema gastrointestinal (estomatitis,
dolor abdominal, diarrea, estreñimiento, náuseas y vómitos)
pueden provocar la pérdida del apetito (anorexia) o sensación
de debilidad (astenia). Su médico le ayudará a prevenir o
controlar estos efectos secundarios.
•	 Para prevenir y tratar la estomatitis, puede mantener una
buena higiene oral usando un enjuague bucal con esteroides
y una pasta dental suave. La pasta dental con esteroides se
puede utilizar para tratar las úlceras en desarrollo. En el caso de
estomatitis más grave (de grado 2 o superior), su médico podrá
sugerir que se reduzca la dosis del tratamiento o que se retrase la
terapia hasta que la estomatitis se resuelva,"
Q001,"",question,¿Qué es la astenia?,lexical_spanish,8,0.2,ts_rank_cd,spanish,mama_es_novartis_guia-pacientes-CM_2025,p063_c00,63,mama,C:\Users\mamen\Documents\Python\RAGChatBot\docs\mama\mama_es_novartis_guia-pacientes-CM_2025.pdf,es,"Nutrición 125
2.13 Astenia
Es un estado de cansancio, debilidad y agotamiento general, físico y
psíquico, que se caracteriza por la falta de energía vital necesaria para
la realización de las actividades diarias más habituales. Es uno de los
síntomas más frecuentes cuando las pacientes están en tratamiento de
quimio o radioterapia. Hay evidencias de que el deterioro de la calidad
de vida secundaria a la anemia induce astenia, en general, por la enfermedad y los tratamientos.
Consume alimentos de poco volumen, pero de gran
valor nutritivo.
Come poco y a menudo.
Realiza un desayuno importante, ya que por la mañana es cuando más fuerzas se tiene para comer.
Haz descansos durante el día, no esperes a cansarte
para descansar.
Ante episodios de angustia o ansiedad evita los atracones de comida que conducen o facilitan el sobrepeso.
Podemos tratar precozmente la malnutrición y la
carencia de nutrientes con la dieta adecuada y con
alto contenido en hierro y vitamina B12, y todas las
medidas anteriormente citadas.
Consulta con tu médico si tienes fatiga persistente. Puede que tengas
anemia y tu especialista decida un tratamiento farmacológico."
Q001,"",question,¿Qué es la astenia?,lexical_spanish,9,0.2,ts_rank_cd,spanish,mama_es_seom_recomendaciones-seguimiento-mujeres-supervivientes-cancer-mama_2017,p014_c00,14,mama,C:\Users\mamen\Documents\Python\RAGChatBot\docs\mama\mama_es_SEOM_recomendaciones-seguimiento-mujeres-supervivientes-cancer-mama_2017.pdf,es,"E) NEUROTOXICIDAD
• Es un efecto secundario asociado a la administración de los taxanos. La neurotoxicidad sensitiva en forma
de parestesias y dolor en manos y pies produce un gran disconfort.
ACTITUD
• Lo más importante es detectar pronto el problema que acostumbra a aparecer durante el tratamiento y
se recomienda suspender o reducir dosis del fármaco causante.
• No se dispone de un tratamiento preventivo. La duloxetina ha mostrado obtener una mejora de la
sintomatología derivada de la neuropatía sensitiva. La pregabalina y gabapentina usadas a menudo
durante y después del tratamiento pueden mejorar los síntomas, especialmente el dolor.
• En caso de dudas es necesario realizar un EMG para llegar a un diagnóstico de certeza.
F) TOXICIDAD OCULAR
• Aunque poco frecuente, el tamoxifeno puede aumentar el riesgo de cataratas.
ACTITUD
• Revisión por el oftalmólogo si se presentan síntomas de visión borrosa.
• Remitir a oncólogo para considerar cambio de tratamiento o su mantenimiento.
G) ASTENIA
• Es un síntoma muy prevalente en cáncer de mama que a menudo se mantiene tras finalizar los
tratamientos27.
• Se recomienda cuantificar el grado de astenia mediante una escala visual numérica y realizar un
seguimiento.
ACTITUD
• Descartar una causa orgánica.
• Apoyo psico-emocional.
• Actividad física.
Problemas de salud derivados de los tratamientos realizados"
Q001,"",question,¿Qué es la astenia?,lexical_spanish,10,0.2,ts_rank_cd,spanish,prostata_es_esmo_guia-para-pacientes_2022,p044_c00,44,prostata,C:\Users\mamen\Documents\Python\RAGChatBot\docs\prostata\prostata_es_esmo_guia-para-pacientes_2022.pdf,es,"TERAPIA
POSIBLES EFECTOS
SECUNDARIOS
CÓMO PUEDEN CONTROLARSE LOS EFECTOS SECUNDARIOS
Abiraterona
(Zytiga RCP, 2020)
•	 Aumento de las enzimas
hepáticas
•	 Diarrea
•	 Edema periférico
•	 Hipertensión
•	 Hipopotasemia
•	 Infección del tracto
urinario
•	 Informe a su médico si experimenta diarrea o retención de líquidos/
hinchazón (edema), le ayudará a controlar estos efectos secundarios
•	 Su función hepática, sus niveles de potasio y su tensión arterial se
monitorearán antes, durante y después del tratamiento
Apalutamida
(Erleada RCP,
2021)
•	 Anorexia
•	 Artralgia
•	 Caídas
•	 Diarrea
•	 Disminución de peso
•	 Fatiga
•	 Fracturas
•	 Hipertensión
•	 Sarpullido
•	 Sofocos
•	 Informe a su médico si experimenta diarrea, fatiga, pérdida de
apetito (anorexia), sarpullido o artralgia, le ayudará a controlar
estos efectos secundarios
•	 Su tensión arterial se monitoreará antes, durante y después del
tratamiento
•	 Antes de iniciar el tratamiento se evaluará el riesgo de que pueda
sufrir fracturas y caídas
•	 Su médico puede ayudarle a sobrellevar los efectos hormonales
como los sofocos y la disminución de peso
Bicalutamida
(Bicalutamida RCP,
2017)
•	 Anemia
•	 Astenia
•	 Dolor abdominal
•	 Edema
•	 Estreñimiento
•	 Hematuria
•	 Mareos
•	 Náuseas
•	 Sensibilidad mamaria
•	 Sofocos
•	 Informe a su médico si experimenta mareos, astenia o retención
de líquidos/hinchazón (edema), le ayudará a controlar estos
efectos secundarios
•	 Comunique a su médico cualquier efecto gastrointestinal, como
el estreñimiento, las náuseas y el dolor abdominal
•	 Su médico puede ayudarle a sobrellevar los"
