experiment_id,question_id,detector_name,detected_language,language_confidence,language_confidence_margin,postgres_ts_config,language_supported,fallback_to_simple,language_note,lexical_and_candidates,lexical_or_candidates_added,lexical_or_fallback_used
baseline_or30_w1_1_1,Q001,lingua,ca,0.46487836440664804,0.18713738947308511,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,30,True
baseline_or30_w1_1_1,Q002,lingua,es,0.8550184920884285,0.7602593552419917,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q003,lingua,es,0.9962868884420093,0.9939152201403337,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q004,lingua,es,0.502377077000283,0.24659732599975998,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q005,lingua,es,0.9970273769242127,0.9943384771704534,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q006,lingua,pt,0.3737812755653445,0.12625475721467502,simple,False,True,Language 'pt' is not supported by the retrieval configuration; defaulting to simple.,1,30,True
baseline_or30_w1_1_1,Q007,lingua,es,0.9648094107202966,0.9338514278116503,spanish,True,False,Using PostgreSQL 'spanish' configuration.,1,30,True
baseline_or30_w1_1_1,Q008,lingua,es,0.9569335370712582,0.9228613400012182,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q009,lingua,es,0.9252594169719264,0.856701297460646,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q010,lingua,es,0.6861462506023864,0.4653520633538544,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q011,lingua,es,0.7590376241184112,0.6008228191505336,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q012,lingua,es,0.9980758263717245,0.9963854748342713,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q013,lingua,es,0.9804052315346488,0.9621301529255353,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q014,lingua,es,0.34616565140956074,0.03684823522240466,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q015,lingua,es,0.9674789831032703,0.9376902173485979,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q016,lingua,es,0.8887599309692943,0.7831963460061212,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q017,lingua,es,0.7019475450546814,0.5325012781585752,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q018,lingua,es,0.5395854329957133,0.3574998067298272,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q019,lingua,es,0.9382320364740492,0.882015102980418,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q020,lingua,es,0.7110547867915826,0.4377393144021606,spanish,True,False,Using PostgreSQL 'spanish' configuration.,1,30,True
baseline_or30_w1_1_1,Q021,lingua,es,0.732382487809518,0.4816138262686938,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q022,lingua,es,0.8314970790835761,0.6791705497586047,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q023,lingua,es,0.8732142855230649,0.7832387730924959,spanish,True,False,Using PostgreSQL 'spanish' configuration.,6,30,True
baseline_or30_w1_1_1,Q024,lingua,es,0.40382760709461907,0.14908831184891408,spanish,True,False,Using PostgreSQL 'spanish' configuration.,8,0,True
baseline_or30_w1_1_1,Q025,lingua,es,0.996411665167681,0.9935958924849968,spanish,True,False,Using PostgreSQL 'spanish' configuration.,2,30,True
baseline_or30_w1_1_1,Q026,lingua,es,0.9655444147609338,0.9458660374065857,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q027,lingua,es,0.9872274913865954,0.9772212623655278,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q028,lingua,es,0.9993825817670207,0.998952051069749,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
baseline_or30_w1_1_1,Q029,lingua,es,0.381809144815165,0.11546240598716029,spanish,True,False,Using PostgreSQL 'spanish' configuration.,2,0,True
baseline_or30_w1_1_1,Q030,lingua,fr,0.36573315256407246,0.09701302465433798,simple,False,True,Language 'fr' is not supported by the retrieval configuration; defaulting to simple.,0,30,True
baseline_or30_w1_1_1,Q031,lingua,ca,0.39574240417828516,0.09493576754108252,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,30,True
