question_id,retrieval_method,requested_depth,returned_candidates,zero_results,fewer_than_requested,detected_language,notes
Q001,semantic_search_persisted,5,5,false,false,,
Q001,hybrid_search_persisted,5,5,false,false,,
Q001,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q001,lexical_simple,100,0,true,true,,
Q001,lexical_spanish,100,28,false,true,,
Q001,lexical_english,100,0,true,true,,
Q002,semantic_search_persisted,5,5,false,false,,
Q002,hybrid_search_persisted,5,5,false,false,,
Q002,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q002,lexical_simple,100,0,true,true,,
Q002,lexical_spanish,100,0,true,true,,
Q002,lexical_english,100,0,true,true,,
Q003,semantic_search_persisted,5,5,false,false,,
Q003,hybrid_search_persisted,5,5,false,false,,
Q003,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q003,lexical_simple,100,0,true,true,,
Q003,lexical_spanish,100,0,true,true,,
Q003,lexical_english,100,0,true,true,,
Q004,semantic_search_persisted,5,5,false,false,,
Q004,hybrid_search_persisted,5,5,false,false,,
Q004,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q004,lexical_simple,100,0,true,true,,
Q004,lexical_spanish,100,0,true,true,,
Q004,lexical_english,100,0,true,true,,
Q005,semantic_search_persisted,5,5,false,false,,
Q005,hybrid_search_persisted,5,5,false,false,,
Q005,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q005,lexical_simple,100,0,true,true,,
Q005,lexical_spanish,100,0,true,true,,
Q005,lexical_english,100,0,true,true,,
Q006,semantic_search_persisted,5,5,false,false,,
Q006,hybrid_search_persisted,5,5,false,false,,
Q006,language_aware_hybrid_search_persisted,5,0,true,true,,Detected language was not persisted by the original evaluation.
Q006,lexical_simple,100,1,false,true,,
Q006,lexical_spanish,100,51,false,true,,
Q006,lexical_english,100,1,false,true,,
Q007,semantic_search_persisted,5,5,false,false,,
Q007,hybrid_search_persisted,5,5,false,false,,
