question_id,evidence_id,relevance_grade,covered_claim_ids,coverage_type,direct_or_inferred,confidence,decision,rationale,contradiction,outdated,wrong_scope,needs_human_review,review_reason,annotator_type,annotator_version
Q001,Q001-E0001,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.0000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0002,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.1000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0003,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.0000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0004,3,Q001-C01,full_claim,direct,high,accept,claim text appears directly in evidence; best_token_coverage=1.0000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0005,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.1000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0006,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.2000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0007,1,,related_only,,medium,reject,topic-related overlap insufficient to assert claim; best_token_coverage=0.3000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0008,1,,related_only,,medium,reject,topic-related overlap insufficient to assert claim; best_token_coverage=0.5000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0009,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.2000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0010,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.2000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0011,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.2000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0012,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.2000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0013,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.2000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0014,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.2000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0015,1,,related_only,,medium,reject,topic-related overlap insufficient to assert claim; best_token_coverage=0.3000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0016,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.2000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0017,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.2000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0018,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.2000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0019,1,,related_only,,medium,reject,topic-related overlap insufficient to assert claim; best_token_coverage=0.4000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0020,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.0000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0021,1,,related_only,,medium,reject,topic-related overlap insufficient to assert claim; best_token_coverage=0.4000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
Q001,Q001-E0022,0,,none,,high,reject,no useful claim-level support detected; best_token_coverage=0.1000; text_verified_in=DB_snapshot,false,false,false,false,,machine_proposed,rag-evidence-builder-v2.0-rulebased
