question_id,evidence_id,chunk_id,doc_id,page_num,source,lang,evidence_text,relevance_grade,covered_claim_ids,confidence,evidence_origin,retrieved_by,content_sha256,status,notes
Q001,Q001-E0004,p009_c00,general_es_gepac_guia-toxicidad-quimioterapia_v1,9,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,ASTENIA Astenia es el término médico para denominar al cansancio (falta de energía) ya sea físico o emocional.,3,Q001-C01,high,database_chunk,document_exact_claim;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;lexical_spanish;semantic_search_persisted,211ff972766e62227cf20d3e843877c8622016b29c3d0536f8536293ebcd1621,provisional_machine_judgment,
Q002,Q002-E0004,p042_c00,general_es_gepac_guia-toxicidad-quimioterapia_v1,42,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"La recomendación generalizada en general para todos los pacientes con quimioterapia se resume en la siguiente frase: Si fi ebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias par",2,Q002-C01,medium,database_chunk,document_claim_search;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot,2f72be3f82e94779bc43ad93a7587522110a972e777ff817cd63a73135ad5ae3,provisional_machine_judgment,grade_2_vs_3_ambiguous
Q002,Q002-E0005,p042_c01,general_es_gepac_guia-toxicidad-quimioterapia_v1,42,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"sume en la siguiente frase: Si fi ebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias para realizar las pruebas pertinentes.",3,Q002-C01,medium,database_chunk,existing_gold_db_chunk;lexical_claim_snapshot,28ffb84e0b4548f30ed748c2f51f29b269c7fc8279d8ba4d785f2e571dca921c,provisional_machine_judgment,
Q002,Q002-E0011,p034_c00,general_es_pfizer_manual-pacientes_2007,34,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,"Si tiene temperatura de 38º C o más, debe de ir a urgencias.",3,Q002-C02;Q002-C03,high,database_chunk,document_exact_claim;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;lexical_question_snapshot,8542372f4cf38913e59137d292366e7dfda3dada89306d0753df7d69bb0fafd3,provisional_machine_judgment,
Q002,Q002-E0031,p150_c00,general_es_pfizer_manual-pacientes_2007,150,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,Una temperatura igual o superior a 38ºC indica la posibilidad de una infección y requiere consultar al médico o enfermera qué se debe hacer en una situación así.,3,Q002-C04;Q002-C05,high,database_chunk,document_exact_claim;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;semantic_search_persisted,eecfc9c978d99d9670313b3d5162212188ed98505ac092e02f16f80228a98830,provisional_machine_judgment,
Q002,Q002-E0048,,general_es_pfizer_manual-pacientes_2007,150,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,"Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden pro- vocar fiebre.",2,Q002-C05,medium,document_only,document_claim_search,d6a298cdf0ac0914afd9f8a165864ada9ab4f2088d44584f54794fd9a77876df,provisional_machine_judgment,grade_2_vs_3_ambiguous;document_only_evidence
Q002,Q002-E0049,,general_es_pfizer_manual-pacientes_2007,34,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,"Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.",3,Q002-C03;Q002-C02,high,document_only,document_claim_search,8f3ca4699cf2ec308468293ab6365326161b469b57986d44e89a3e97e4811fa2,provisional_machine_judgment,document_only_evidence
Q002,Q002-E0050,,general_es_pfizer_manual-pacientes_2007,34,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,"Si tiene temperatura de 38º C o más, debe de ir a urgen- cias.",2,Q002-C02,medium,document_only,document_claim_search;document_question_search,efdd801d616193d51ecff3e1e315eab3edd790c9147d51637346962a0c352db8,provisional_machine_judgment,grade_2_vs_3_ambiguous;document_only_evidence
Q003,Q003-E0009,p047_c00,general_es_gepac_guia-toxicidad-quimioterapia_v1,47,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,El insomnio es el trastorno más común en los pacientes con cáncer y suele ser secundario a factores físicos y psicológicos relacionados con el cáncer y sus tratamientos.,3,Q003-C01,high,database_chunk,document_exact_claim;document_question_search;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;lexical_question_snapshot,6e3a3de06fd99bb79b99c64a52169d84940ef8d288e2b62d1706ff494be3e738,provisional_machine_judgment,
Q004,Q004-E0001,p014_c00,general_es_gepac_guia-toxicidad-quimioterapia_v1,14,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"MUCOSITIS La mucositis es la infl amación de la mucosa del tracto digestivo que se caracteriza por la aparición de úlceras y/o enrojecimiento, sensación de ""quemazón"", etc.",3,Q004-C01,medium,database_chunk,document_claim_search;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;semantic_search_persisted,a11c580058f5afd7fdd4cc0aa315cf1ce34da982521c54f240446e1cbecd52ba,provisional_machine_judgment,
