question_id,claim_id,claim_text,coverage_status,evidence_ids,best_relevance_grade,pending_reason,recommended_action
Q001,Q001-C01,Astenia es el término médico para denominar al cansancio (falta de energía) ya sea físico o emocional.,fully_supported_machine_only,Q001-E0004,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q003,Q003-C01,El insomnio es el trastorno más común en los pacientes con cáncer y suele ser secundario a factores físicos y psicológicos relacionados con el cáncer y sus tratamientos.,fully_supported_machine_only,Q003-E0009,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q004,Q004-C01,"La mucositis es la inflamación de la mucosa del tracto digestivo que se caracteriza por la aparición de úlceras y/o enrojecimiento, sensación de “quemazón”, etc.",fully_supported_machine_only,Q004-E0001,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q007,Q007-C01,"No todos los tratamientos hacen caer el cabello, pero la mayoría lo empobrecen o hacen que pierda vitalidad.",fully_supported_machine_only,Q007-E0011,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q007,Q007-C02,"La pérdida de cabello es uno de los efectos secundarios más frecuentes, aunque hay que destacar que no todos los fármacos quimioterápicos producen alopecia.",fully_supported_machine_only,Q007-E0004,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q008,Q008-C03,En ocasiones el nuevo cabello es de características diferentes.,fully_supported_machine_only,Q008-E0007,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q009,Q009-C01,Docetaxel es el único tratamiento de quimioterapia que se utiliza asociado a la TDA en el CPHSm.,fully_supported_machine_only,Q009-E0028,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q009,Q009-C02,"Se administra por vía intravenosa, normalmente cada 21 días hasta recibir un total de 6 ciclos o sesiones.",fully_supported_machine_only,Q009-E0028,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q010,Q010-C01,Medicamento que se usa para tratar la osteoporosis y prevenir fracturas u otros problemas óseos causados por metástasis óseas.,fully_supported_machine_only,Q010-E0006;Q010-E0007;Q010-E0014;Q010-E0016,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q010,Q010-C02,Medicamento que ayuda a tratar la osteoporosis y a evitar las fracturas y otros problemas óseos causados por las metástasis óseas,fully_supported_machine_only,Q010-E0006;Q010-E0007;Q010-E0014;Q010-E0016,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q010,Q010-C03,Su uso ha demostrado ser beneficioso en la prevención de la osteoporosis y de las complicaciones de las metástasis óseas [...] Se administra por vía subcutánea cada 4 semanas,fully_supported_machine_only,Q010-E0037,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q010,Q010-C04,"Denosumab (Xgeva®, Prolia®) [...] puede ayudar a prevenir o retrasar algunos problemas, como las fracturas.",fully_supported_machine_only,Q010-E0023,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q010,Q010-C05,"Al igual que los bifosfonatos, el denosumab también bloquea las células de los huesos llamadas osteoclastos",fully_supported_machine_only,Q010-E0023,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q011,Q011-C01,El principal efecto adverso de Apalutamida es la aparición de un rash o exantema en la piel además de leve cansancio.,fully_supported_machine_only,Q011-E0024,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q011,Q011-C02,"Los principales efectos secundarios son: Anorexia, Artralgia, Caídas, Diarrea, Disminución de peso, Fatiga, Fracturas, Hipertensión, Sarpullido, Sofocos.",fully_supported_machine_only,Q011-E0017,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q013,Q013-C01,La enfermedad metastásica suele tratarse con terapia de privación de andrógenos,fully_supported_machine_only,Q013-E0022;Q013-E0023;Q013-E0033;Q013-E0037,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q013,Q013-C02,"La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.",fully_supported_machine_only,Q013-E0022;Q013-E0023;Q013-E0035,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q013,Q013-C03,La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.,fully_supported_machine_only,Q013-E0022;Q013-E0023;Q013-E0033,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q013,Q013-C04,El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia,fully_supported_machine_only,Q013-E0022;Q013-E0023;Q013-E0033,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q013,Q013-C05,La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata.,fully_supported_machine_only,Q013-E0022;Q013-E0023;Q013-E0033;Q013-E0035,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q013,Q013-C06,La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.,fully_supported_machine_only,Q013-E0035,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q013,Q013-C07,"Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata",fully_supported_machine_only,Q013-E0035,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q013,Q013-C08,"es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente",fully_supported_machine_only,Q013-E0035,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q013,Q013-C09,La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.,fully_supported_machine_only,Q013-E0037,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q013,Q013-C10,"La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.",fully_supported_machine_only,Q013-E0046,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q014,Q014-C01,"Además de mejorar los síntomas y retrasar complicaciones, Ra-223 ha demostrado también mejorar la supervivencia de pacientes con CPRCm y lesiones únicamente óseas.",fully_supported_machine_only,Q014-E0032,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q015,Q015-C02,"Después de esta operación, la capacidad de lograr erecciones depende de la edad, la capacidad que tenía usted de lograr erecciones antes de la operación, y si se cortaron los nervios.",fully_supported_machine_only,Q015-E0048,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q015,Q015-C03,"Todos los hombres pueden esperar una reducción en la capacidad de tener erecciones, pero cuanto más joven sea usted, hay más probabilidades de que conserve esta capacidad.",fully_supported_machine_only,Q015-E0048,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q015,Q015-C04,"Si su capacidad para lograr erecciones regresa después de la cirugía, esto a menudo ocurre lentamente.",fully_supported_machine_only,Q015-E0050,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q015,Q015-C05,"De hecho, esto puede tardar desde unos pocos meses hasta dos años.",fully_supported_machine_only,Q015-E0050,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q015,Q015-C06,"Si después de la cirugía regresa la potencia, la sensación del orgasmo debe continuar siendo placentera, pero no hay eyaculación de semen (el orgasmo es “seco”).",fully_supported_machine_only,Q015-E0050,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q015,Q015-C07,Problemas de erección,fully_supported_machine_only,Q015-E0018;Q015-E0020;Q015-E0031;Q015-E0032;Q015-E0033;Q015-E0034;Q015-E0035;Q015-E0037;Q015-E0044;Q015-E0054;Q015-E0055;Q015-E0056;Q015-E0057;Q015-E0076,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q015,Q015-C08,El tratamiento del cáncer de próstata puede afectar a la fertilidad.,fully_supported_machine_only,Q015-E0027,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q015,Q015-C09,"Tras una prostatectomía radical el paciente no podrá eyacular semen, y la radioterapia y la terapia hormonal pueden reducir la producción de semen y esperma.",fully_supported_machine_only,Q015-E0027,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q016,Q016-C01,"Mantener un estado nutritivo equilibrado ayuda, sin duda, a sobrellevar mejor la quimioterapia y tener mayor sensación de bienestar.",fully_supported_machine_only,Q016-E0014,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q016,Q016-C02,"Una dieta equilibrada incluye alimentos de todos los grupos (verduras, frutas, legum bres, pescados y carnes) en cantidades suficientes.",fully_supported_machine_only,Q016-E0014,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q016,Q016-C03,"Algunas personas en quimio o radioterapia mantienen un estado nutri tivo adecuado, sin padecer efectos secundarios (diarrea, estreñimiento, náuseas, etc.) o experimentándolos en forma muy leve.",fully_supported_machine_only,Q016-E0014,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q017,Q017-C01,"Audición de un sonido (como un timbrazos, chillidos o zumbidos) cuando no hay sonido externo presente",fully_supported_machine_only,Q017-E0006,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q018,Q018-C01,"The 50-gene assay (PAM-50) risk of recurrence (ROR) score stratifies patients with HR-positive disease into high-, medium-, and low-risk groups.",fully_supported_machine_only,Q018-E0012;Q018-E0013,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q018,Q018-C02,Several studies have shown the prognostic value of ROR score in estimating risk of disease recurrence.,fully_supported_machine_only,Q018-E0013,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q018,Q018-C03,Several studies have shown the prognostic value of ROR score in estimating risk of disease recurrence,fully_supported_machine_only,Q018-E0012;Q018-E0013,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
Q018,Q018-C04,"Different genetic signatures have been evaluated in core needle biopsy before neoadjuvant therapy, as good pre dictors of response to neoadjuvant therapy, especially PAM50 ROR score, although this approach is currently considered experimental",fully_supported_machine_only,Q018-E0023,3,machine_evidence_requires_human_review,Revisar manualmente las evidencias machine_only_unreviewed enlazadas.
