question_id,claim_id,claim_text,claim_type,required_for_complete_answer,source_ground_truth,original_claim_id,review_action,review_notes,status,reviewer_type
Q001,Q001-C01,Astenia es el término médico para denominar al cansancio (falta de energía) ya sea físico o emocional.,definition,true,Astenia es el término médico para denominar al cansancio (falta de energía) ya sea físico o emocional.,Q001-C01,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q002,Q002-C01,"Si fiebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias para realizar las pruebas pertinentes.",recommendation,true,"Si fiebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias para realizar las pruebas pertinentes.

Si tiene temperatura de 38º C o más, debe de ir a urgencias.
Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.

Una temperatura igual o superior a 38ºC indica la posibilidad de una infección y requiere consultar al médico o enfermera qué se debe hacer en una situación así. Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden provocar fiebre.",Q002-C01,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q002,Q002-C02,"Si tiene temperatura de 38º C o más, debe de ir a urgencias.",recommendation,true,"Si fiebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias para realizar las pruebas pertinentes.

Si tiene temperatura de 38º C o más, debe de ir a urgencias.
Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.

Una temperatura igual o superior a 38ºC indica la posibilidad de una infección y requiere consultar al médico o enfermera qué se debe hacer en una situación así. Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden provocar fiebre.",Q002-C02,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q002,Q002-C03,"Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.",recommendation,true,"Si fiebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias para realizar las pruebas pertinentes.

Si tiene temperatura de 38º C o más, debe de ir a urgencias.
Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.

Una temperatura igual o superior a 38ºC indica la posibilidad de una infección y requiere consultar al médico o enfermera qué se debe hacer en una situación así. Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden provocar fiebre.",Q002-C03,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q002,Q002-C04,Una temperatura igual o superior a 38ºC indica la posibilidad de una infección y requiere consultar al médico o enfermera qué se debe hacer en una situación así.,recommendation,true,"Si fiebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias para realizar las pruebas pertinentes.

Si tiene temperatura de 38º C o más, debe de ir a urgencias.
Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.

Una temperatura igual o superior a 38ºC indica la posibilidad de una infección y requiere consultar al médico o enfermera qué se debe hacer en una situación así. Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden provocar fiebre.",Q002-C04,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q002,Q002-C05,"Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden provocar fiebre.",factual,true,"Si fiebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias para realizar las pruebas pertinentes.

Si tiene temperatura de 38º C o más, debe de ir a urgencias.
Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.

Una temperatura igual o superior a 38ºC indica la posibilidad de una infección y requiere consultar al médico o enfermera qué se debe hacer en una situación así. Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden provocar fiebre.",Q002-C05,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q003,Q003-C01,El insomnio es el trastorno más común en los pacientes con cáncer y suele ser secundario a factores físicos y psicológicos relacionados con el cáncer y sus tratamientos.,definition,true,El insomnio es el trastorno más común en los pacientes con cáncer y suele ser secundario a factores físicos y psicológicos relacionados con el cáncer y sus tratamientos.,Q003-C01,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q004,Q004-C01,"La mucositis es la inflamación de la mucosa del tracto digestivo que se caracteriza por la aparición de úlceras y/o enrojecimiento, sensación de “quemazón”, etc.",definition,true,"La mucositis es la inflamación de la mucosa del tracto digestivo que se caracteriza por la aparición de úlceras y/o enrojecimiento, sensación de “quemazón”, etc.",Q004-C01,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q005,Q005-C01,Suele durar entre 2 y 6 horas.,temporal,true,Suele durar entre 2 y 6 horas.,Q005-C01,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q006,Q006-C01,La neutropenia es el descenso del número de neutrófilos en sangre por debajo de 1500 células/mm3.,definition,true,La neutropenia es el descenso del número de neutrófilos en sangre por debajo de 1500 células/mm3.,Q006-C01,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q007,Q007-C01,"No todos los tratamientos hacen caer el cabello, pero la mayoría lo empobrecen o hacen que pierda vitalidad.",factual,true,"No todos los tratamientos hacen caer el cabello, pero la mayoría lo empobrecen o hacen que pierda vitalidad.

La pérdida de cabello es uno de los efectos secundarios más frecuentes, aunque hay que destacar que no todos los fármacos quimioterápicos producen alopecia.",Q007-C01,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q007,Q007-C02,"La pérdida de cabello es uno de los efectos secundarios más frecuentes, aunque hay que destacar que no todos los fármacos quimioterápicos producen alopecia.",recommendation,true,"No todos los tratamientos hacen caer el cabello, pero la mayoría lo empobrecen o hacen que pierda vitalidad.

La pérdida de cabello es uno de los efectos secundarios más frecuentes, aunque hay que destacar que no todos los fármacos quimioterápicos producen alopecia.",Q007-C02,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
