question_id,evidence_id,chunk_id,doc_id,page_num,source,lang,evidence_text,relevance_grade,covered_claim_ids,original_covered_claim_ids,review_status,decision,confidence,evidence_origin,retrieved_by,source_content_sha256,evidence_text_sha256,source_exists_in_docs,ingestion_gap,claim_text_changed_since_machine_judgment,needs_human_revalidation,status,reviewer_type,adjudication_status,review_notes
Q001,Q001-E0004,p009_c00,general_es_gepac_guia-toxicidad-quimioterapia_v1,9,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,ASTENIA Astenia es el término médico para denominar al cansancio (falta de energía) ya sea físico o emocional.,3,Q001-C01,Q001-C01,machine_only_unreviewed,accept_provisional,high,database_chunk,document_exact_claim;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;lexical_spanish;semantic_search_persisted,211ff972766e62227cf20d3e843877c8622016b29c3d0536f8536293ebcd1621,e93c1fee026e519e1002fd72c140e200c4d555d9ec85832bddd4b3ec9dbfb300,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q002,Q002-E0004,p042_c00,general_es_gepac_guia-toxicidad-quimioterapia_v1,42,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"La recomendación generalizada en general para todos los pacientes con quimioterapia se resume en la siguiente frase: Si fi ebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias par",3,Q002-C01;Q002-C03,Q002-C01;Q002-C03,human_reviewed,accept,human_confidence_not_recorded,database_chunk,document_claim_search;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot,2f72be3f82e94779bc43ad93a7587522110a972e777ff817cd63a73135ad5ae3,b88762697091194f19cd57e42050adc6668423ea504b756a588f469071e596e1,true,false,false,false,human_reviewed_single_reviewer,single_human_reviewer,not_adjudicated,La evidencia respalda directamente y de forma completa el claim Q002-C01.
Q002,Q002-E0005,p042_c01,general_es_gepac_guia-toxicidad-quimioterapia_v1,42,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"sume en la siguiente frase: Si fi ebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias para realizar las pruebas pertinentes.",3,Q002-C01,Q002-C01,machine_only_unreviewed,accept_provisional,medium,database_chunk,existing_gold_db_chunk;lexical_claim_snapshot,28ffb84e0b4548f30ed748c2f51f29b269c7fc8279d8ba4d785f2e571dca921c,8e9d049b44d41f8f48f617ac422bd368d702c66c66f5a8945edaac23b3013082,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q002,Q002-E0011,p034_c00,general_es_pfizer_manual-pacientes_2007,34,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,"Si tiene temperatura de 38º C o más, debe de ir a urgencias.",3,Q002-C02;Q002-C03,Q002-C02;Q002-C03,machine_only_unreviewed,accept_provisional,high,database_chunk,document_exact_claim;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;lexical_question_snapshot,8542372f4cf38913e59137d292366e7dfda3dada89306d0753df7d69bb0fafd3,3fa80385a2ba729204f79d3f59d3005b8773ab293bea4e275a351b6e87c4a199,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q002,Q002-E0031,p150_c00,general_es_pfizer_manual-pacientes_2007,150,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,Una temperatura igual o superior a 38ºC indica la posibilidad de una infección y requiere consultar al médico o enfermera qué se debe hacer en una situación así.,3,Q002-C04;Q002-C05,Q002-C04;Q002-C05,machine_only_unreviewed,accept_provisional,high,database_chunk,document_exact_claim;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;semantic_search_persisted,eecfc9c978d99d9670313b3d5162212188ed98505ac092e02f16f80228a98830,8a998bacd1d01474b0cace2469ac630ac1dd355310aa59da8107d542bb57d3c1,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q002,Q002-E0048,,general_es_pfizer_manual-pacientes_2007,150,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,"Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden pro- vocar fiebre.",3,Q002-C05;Q002-C03,Q002-C05;Q002-C03,human_reviewed,accept,human_confidence_not_recorded,document_only,document_claim_search,d6a298cdf0ac0914afd9f8a165864ada9ab4f2088d44584f54794fd9a77876df,d6a298cdf0ac0914afd9f8a165864ada9ab4f2088d44584f54794fd9a77876df,true,true,false,false,human_reviewed_single_reviewer,single_human_reviewer,not_adjudicated,La evidencia respalda el claim de manera completa
Q002,Q002-E0049,,general_es_pfizer_manual-pacientes_2007,34,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,"Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.",3,Q002-C03;Q002-C04,Q002-C03;Q002-C04,human_reviewed,accept,human_confidence_not_recorded,document_only,document_claim_search,8f3ca4699cf2ec308468293ab6365326161b469b57986d44e89a3e97e4811fa2,65ffefc92930a596531e7022a52a40a8acaa87fe19b1283ad7078abd017dd825,true,true,false,false,human_reviewed_single_reviewer,single_human_reviewer,not_adjudicated,La evidencia respalda el claim de manera completa
Q002,Q002-E0050,,general_es_pfizer_manual-pacientes_2007,34,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,"Si tiene temperatura de 38º C o más, debe de ir a urgen- cias.",3,Q002-C01;Q002-C02;Q002-C03,Q002-C01;Q002-C02;Q002-C03,human_reviewed,accept,human_confidence_not_recorded,document_only,document_claim_search;document_question_search,efdd801d616193d51ecff3e1e315eab3edd790c9147d51637346962a0c352db8,efdd801d616193d51ecff3e1e315eab3edd790c9147d51637346962a0c352db8,true,true,false,false,human_reviewed_single_reviewer,single_human_reviewer,not_adjudicated,La evidencia respalda el claim de manera completa
Q003,Q003-E0009,p047_c00,general_es_gepac_guia-toxicidad-quimioterapia_v1,47,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,El insomnio es el trastorno más común en los pacientes con cáncer y suele ser secundario a factores físicos y psicológicos relacionados con el cáncer y sus tratamientos.,3,Q003-C01,Q003-C01,machine_only_unreviewed,accept_provisional,high,database_chunk,document_exact_claim;document_question_search;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;lexical_question_snapshot,6e3a3de06fd99bb79b99c64a52169d84940ef8d288e2b62d1706ff494be3e738,3ecbd3c68414ae51868b5dd4fe0e45116914c3f94317f03b9a9535595a2a3c1a,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q004,Q004-E0001,p014_c00,general_es_gepac_guia-toxicidad-quimioterapia_v1,14,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"MUCOSITIS La mucositis es la infl amación de la mucosa del tracto digestivo que se caracteriza por la aparición de úlceras y/o enrojecimiento, sensación de ""quemazón"", etc.",3,Q004-C01,Q004-C01,machine_only_unreviewed,accept_provisional,medium,database_chunk,document_claim_search;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;semantic_search_persisted,a11c580058f5afd7fdd4cc0aa315cf1ce34da982521c54f240446e1cbecd52ba,e3f01305b0f91a2074cc8c5ea6af144e95435e960fc3665781883342649232ff,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q005,Q005-E0012,p033_c00,general_es_pfizer_manual-pacientes_2007,33,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,Suele durar entre 2 y 6 horas.,3,Q005-C01,Q005-C01,machine_only_unreviewed,accept_provisional,high,database_chunk,document_exact_claim;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;lexical_question_snapshot,80d412cd78a8739e8540c5d8f7935c04f04b469b8e5c31a455fcd43665d51fe7,1c13676dd0595cf9bc16b9f3d6e6cf4c4732803a9ea4a0fa2bd6be7b6b477f79,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q005,Q005-E0013,p033_c01,general_es_pfizer_manual-pacientes_2007,33,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,Suele durar entre 2 y 6 horas.,3,Q005-C01,Q005-C01,machine_only_unreviewed,accept_provisional,high,database_chunk,existing_gold_db_chunk;lexical_claim_snapshot;lexical_question_snapshot;semantic_search_persisted,86f9a983ed42c4f328c9bc7281c31925e33d6a92042f87a46cce19fdffa859e2,1c13676dd0595cf9bc16b9f3d6e6cf4c4732803a9ea4a0fa2bd6be7b6b477f79,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q005,Q005-E0027,,general_es_pfizer_manual-pacientes_2007,33,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,Suele durar entre 2 y 6 horas.,3,Q005-C01,Q005-C01,human_reviewed,accept,human_confidence_not_recorded,document_only,document_question_search,8edb4de962e8dbe23a108389bcbae2877739a922ca5d68c337cb3404661c4ee7,1c13676dd0595cf9bc16b9f3d6e6cf4c4732803a9ea4a0fa2bd6be7b6b477f79,true,true,false,false,human_reviewed_single_reviewer,single_human_reviewer,not_adjudicated,La evidencia respalda el claim de manera completa
Q006,Q006-E0010,p042_c00,general_es_gepac_guia-toxicidad-quimioterapia_v1,42,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,Toxicidad por quimioterapia NEUTROPENIA La neutropenia es el descenso del número de neutrófi los en sangre por debajo de 1500 células/mm3.,3,Q006-C01,Q006-C01,machine_only_unreviewed,accept_provisional,medium,database_chunk,lexical_claim_snapshot;lexical_spanish;semantic_search_persisted,2f72be3f82e94779bc43ad93a7587522110a972e777ff817cd63a73135ad5ae3,984415a48e0789983f36047fd4070519d7141569cac3ee3924ee8cee7cae4ad9,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q006,Q006-E0060,,general_es_gepac_guia-toxicidad-quimioterapia_v1,42,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,T oxicidad por quimioterapia40 NEUTROPENIA La neutropenia es el descenso del número de neutrófi los en sangre por debajo de 1500 células/mm3.,3,Q006-C01,Q006-C01,human_reviewed,accept,human_confidence_not_recorded,document_only,document_claim_search,1408b9e2a3c516102b6ecd677f8b361c2ba7d2912bdc02f2cdb73a90b14370e0,1408b9e2a3c516102b6ecd677f8b361c2ba7d2912bdc02f2cdb73a90b14370e0,true,true,false,false,human_reviewed_single_reviewer,single_human_reviewer,not_adjudicated,La evidencia respalda el claim de manera completa
Q007,Q007-E0004,p022_c00,general_es_gepac_guia-toxicidad-quimioterapia_v1,22,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"ALOPECIA La pérdida de cabello es uno de los efectos secundarios más frecuentes, aunque hay que destacar que no todos los fármacos quimioterápicos producen alopecia.",3,Q007-C02,Q007-C02,machine_only_unreviewed,accept_provisional,high,database_chunk,document_exact_claim;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;lexical_question_snapshot,f62e47b55efa365acd224eaef33806a15e9d6ccd1b9e813079c616e395637e3f,8065450abc8739486da124fbce95414374abdbcd1ace949d88dc4856cf4f97f6,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q007,Q007-E0011,p040_c00,general_es_pfizer_manual-pacientes_2007,40,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,"No todos los tratamientos hacen caer el cabello, pero la mayoría lo empobrecen o hacen que pierda vitalidad.",3,Q007-C01,Q007-C01,machine_only_unreviewed,accept_provisional,high,database_chunk,document_exact_claim;document_question_search;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;lexical_question_snapshot;lexical_spanish;semantic_search_persisted,6396b06e2441d4e934db4b243e08de2c2acb98a2ee7d0b6693c6349afa0bd9a1,ec0517f3f15e092dc556447b2e2883683ada5ae41237863d05c7fc9f763526d1,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q008,Q008-E0007,p022_c00,general_es_gepac_guia-toxicidad-quimioterapia_v1,22,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,La caída del cabello suele comenzar a las 2-3 semanas del tratamiento y comienza a recuperarse a partir de los 3-6 meses del cese de la quimioterapia.,3,Q008-C03;Q008-C02,Q008-C03;Q008-C02,machine_only_unreviewed,accept_provisional,high,database_chunk,document_exact_claim;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;lexical_question_snapshot,f62e47b55efa365acd224eaef33806a15e9d6ccd1b9e813079c616e395637e3f,b5d648a3ea1dae43e29d9b283e564c8218e640a24ce3a955ef5446509743a17c,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q008,Q008-E0016,p040_c00,general_es_pfizer_manual-pacientes_2007,40,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,"Si su tratamiento hace caer el cabello, este caerá aproximadamente a las 3 o 4 semanas de la administración del tratamiento.",3,Q008-C01,Q008-C01,machine_only_unreviewed,accept_provisional,high,database_chunk,document_claim_search;existing_gold_db_chunk;lexical_claim_snapshot;lexical_question_snapshot;semantic_search_persisted,6396b06e2441d4e934db4b243e08de2c2acb98a2ee7d0b6693c6349afa0bd9a1,bda6343d199726b16210dd79c5b2b2bb181f1c594dbe78fb6db1c2d944279656,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q008,Q008-E0041,,general_es_gepac_guia-toxicidad-quimioterapia_v1,22,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,La caída del cabello suele comenzar a las 2-3 semanas del tratamiento y co- mienza a recuperarse a partir de los 3-6 meses del cese de la quimioterapia.,3,Q008-C01;Q008-C02,Q008-C01;Q008-C02,human_reviewed,accept,human_confidence_not_recorded,document_only,document_claim_search;document_question_search,695c22baedd19a86634b8347ea267241e35017ebb15c38e7a55ed50a061097a1,695c22baedd19a86634b8347ea267241e35017ebb15c38e7a55ed50a061097a1,true,true,false,false,human_reviewed_single_reviewer,single_human_reviewer,not_adjudicated,La evidencia respalda el claim de manera completa
Q008,Q008-E0045,,general_es_pfizer_manual-pacientes_2007,40,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,"Si su tratamiento hace caer el cabello, este caerá aproximadamente a las 3 o 4 semanas de la administración del trata- miento.",3,Q008-C01;Q008-C02,Q008-C01;Q008-C02,human_reviewed,accept,human_confidence_not_recorded,document_only,document_claim_search;document_question_search;gold_document_verification,3902400d93fc666f1e92d5206fa2fe228ce21355d3e459d6bd2ba322ff3dc977,3902400d93fc666f1e92d5206fa2fe228ce21355d3e459d6bd2ba322ff3dc977,true,true,false,false,human_reviewed_single_reviewer,single_human_reviewer,not_adjudicated,La evidencia respalda el claim de manera completa
Q009,Q009-E0028,p019_c01,prostata_es_seom_cancer-prostata_2025,19,C:\Users\mamen\Documents\Python\RAGChatBot\docs\prostata\prostata_es_SEOM_cancer-prostata_2025.pdf,es,QUIMIOTERAPIA: Docetaxel es el único tratamiento de quimioterapia que se utiliza asociado a la TDA en el CPHSm.,3,Q009-C01;Q009-C02,Q009-C01;Q009-C02,machine_only_unreviewed,accept_provisional,high,database_chunk,document_exact_claim;document_question_search;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;lexical_question_snapshot;semantic_search_persisted,3e6874122150d5bcafa8eb5e22cb679cb377cb055c900ab77f7d8a489c619384,c80cfbc1128aebfcd4676df727b411fdced7eda48ff054baa482ce1fd540f32e,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
Q010,Q010-E0006,p068_c01,mama_es_esmo_guia-para-pacientes_v1,68,C:\Users\mamen\Documents\Python\RAGChatBot\docs\mama\mama_es_esmo_guia-para-pacientes_v1.pdf,es,"las células cancerosas desarrollen su propio suministro de sangre, contribuyendo así a frenar el crecimiento del tumor BIOMARCADORES Moléculas biológicas que se encuentran en los tejidos, la sangre u otros fluidos corporales que son un signo de una afección o enfermedad, o que describen el comportamiento de la enfermedad BIOPSIA Procedimiento médico en el que se toma una pequeña muestra de células o tejidos para examinarlos bajo un microscopio BISFOSFONATOS Medicamentos que ayudan a prevenir o desacelerar la osteoporosis y previenen la fractura de huesos y otros problemas óseos causados por me",3,Q010-C01;Q010-C02,Q010-C01;Q010-C02,machine_only_unreviewed,accept_provisional,medium,database_chunk,document_claim_search;gold_document_verification;lexical_claim_snapshot,5d3ba7d34e022288048689c28cecc29e386e17f214a55e80cdd6dd98354f26eb,3bdf581870629da17263c2e05a749c507b06f8b8d42927fa4d3547058081e11d,true,false,false,true,provisional_machine_judgment_not_human_reviewed,machine_proposed,not_adjudicated,
