question_id,question,ground_truth,query_language,topic,original_source,original_row,ground_truth_source
Q001,¿Qué es la astenia?,Astenia es el término médico para denominar al cansancio (falta de energía) ya sea físico o emocional.,,,eval/preguntas_val.xlsx,2,eval/gold_references.csv
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,"Si fiebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias para realizar las pruebas pertinentes.

Si tiene temperatura de 38º C o más, debe de ir a urgencias.
Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.

Una temperatura igual o superior a 38ºC indica la posibilidad de una infección y requiere consultar al médico o enfermera qué se debe hacer en una situación así. Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden provocar fiebre.",,,eval/preguntas_val.xlsx,3,eval/gold_references.csv
Q003,¿Cuál es el trastorno del sueño más común en pacientes con cáncer?,El insomnio es el trastorno más común en los pacientes con cáncer y suele ser secundario a factores físicos y psicológicos relacionados con el cáncer y sus tratamientos.,,,eval/preguntas_val.xlsx,4,eval/gold_references.csv
Q004,¿Cómo se define la mucositis?,"La mucositis es la inflamación de la mucosa del tracto digestivo que se caracteriza por la aparición de úlceras y/o enrojecimiento, sensación de “quemazón”, etc.",,,eval/preguntas_val.xlsx,5,eval/gold_references.csv
Q005,¿Cuánto tiempo suele durar una sesión de administración de quimioterapia?,Suele durar entre 2 y 6 horas.,,,eval/preguntas_val.xlsx,6,eval/gold_references.csv
Q006,¿Qué es la Neutropenia?,La neutropenia es el descenso del número de neutrófilos en sangre por debajo de 1500 células/mm3.,,,eval/preguntas_val.xlsx,7,eval/gold_references.csv
Q007,¿Siempre se cae el cabello con los tratamientos de quimioterapia?,"No todos los tratamientos hacen caer el cabello, pero la mayoría lo empobrecen o hacen que pierda vitalidad.

La pérdida de cabello es uno de los efectos secundarios más frecuentes, aunque hay que destacar que no todos los fármacos quimioterápicos producen alopecia.",,,eval/preguntas_val.xlsx,8,eval/gold_references.csv
Q008,¿En qué momento suele caer el cabello tras el tratamiento?,"Si su tratamiento hace caer el cabello, este caerá aproximadamente a las 3 o 4 semanas de la administración del tratamiento.

La caída del cabello suele comenzar a las 2-3 semanas del tratamiento y co mienza a recuperarse a partir de los 3-6 meses del cese de la quimioterapia. En ocasiones el nuevo cabello es de características diferentes.",,,eval/preguntas_val.xlsx,9,eval/gold_references.csv
Q009,¿Qué medicamento de quimioterapia se asocia a la TDA en el cáncer de próstata hormono-sensible meastásica CPHSm?,"Docetaxel es el único tratamiento de quimioterapia que se utiliza asociado a la TDA en el CPHSm. Se administra por vía intravenosa, normalmente cada 21 días hasta recibir un total de 6 ciclos o sesiones.",,,eval/preguntas_val.xlsx,10,eval/gold_references.csv
Q010,¿Para qué sirve el fármaco Denosumab?,"Medicamento que se usa para tratar la osteoporosis y prevenir fracturas u otros problemas óseos causados por metástasis óseas.

Medicamento que ayuda a tratar la osteoporosis y a evitar las fracturas y otros problemas óseos causados por las metástasis óseas

Su uso ha demostrado ser beneficioso en la prevención de la osteoporosis y de las complicaciones de las metástasis óseas [...] Se administra por vía subcutánea cada 4 semanas

Denosumab (Xgeva®, Prolia®) [...] puede ayudar a prevenir o retrasar algunos problemas, como las fracturas.

Al igual que los bifosfonatos, el denosumab también bloquea las células de los huesos llamadas osteoclastos",,,eval/preguntas_val.xlsx,11,eval/gold_references.csv
Q011,¿Cuál es el principal efecto adverso de la Apalutamida?,"El principal efecto adverso de Apalutamida es la aparición de un rash o exantema en la piel además de leve cansancio.

Anorexia, Artralgia, Caídas, Diarrea, Disminución de peso, Fatiga, Fracturas, Hipertensión, Sarpullido, Sofocos",,,eval/preguntas_val.xlsx,12,eval/gold_references.csv
Q012,¿cómo suele tratarse el cáncer de próstata resistente a la castración no metastásico?,"El cáncer de próstata no metastásico que sigue creciendo a pesar del tratamiento con terapia de privación de andrógenos (cáncer de próstata resistente a la castración [CPRC]) suele tratarse con los medicamentos antiandrógenos apalutamida, darolutamida o enzalutamida.",,,eval/preguntas_val.xlsx,13,eval/gold_references.csv
Q013,¿qué tipos de cáncer de próstata se tratan con terapia de privación de andrógenos?,"La enfermedad metastásica suele tratarse con terapia de privación de andrógenos

La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.

La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.

El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia

La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata. La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.
Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata; es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente

La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.

La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.

En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",,,eval/preguntas_val.xlsx,14,eval/gold_references.csv
