experiment_order,experiment_id,experiment_name,or_fallback_k,semantic_weight,lexical_and_weight,lexical_or_weight,gold_view,question_id,strategy,k,evaluable_evidence,num_gold_evidence,num_gold_claims,evidence_hit_at_k,evidence_precision_at_k,evidence_recall_at_k,mrr_at_k,ap_at_k,claim_coverage_at_k,document_hit_at_k,page_hit_at_k,retrieved_relevant_evidence,retrieved_claims
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q002,hybrid,1,True,3,5,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.4,1.0,1.0,1,Q002-C03;Q002-C05
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q002,hybrid,3,True,3,5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.4,1.0,1.0,1,Q002-C03;Q002-C05
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q002,hybrid,5,True,3,5,1.0,0.2,0.3333333333333333,1.0,0.3333333333333333,0.4,1.0,1.0,1,Q002-C03;Q002-C05
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q002,hybrid,10,True,3,5,1.0,0.1,0.3333333333333333,1.0,0.3333333333333333,0.4,1.0,1.0,1,Q002-C03;Q002-C05
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q005,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q005,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q005,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q005,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q006,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q006,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q006,hybrid,5,True,1,1,1.0,0.2,1.0,0.25,0.25,1.0,1.0,1.0,1,Q006-C01
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q006,hybrid,10,True,1,1,1.0,0.1,1.0,0.25,0.25,1.0,1.0,1.0,1,Q006-C01
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q008,hybrid,1,True,2,2,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1,Q008-C01;Q008-C02
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q008,hybrid,3,True,2,2,1.0,0.3333333333333333,0.5,1.0,0.5,1.0,1.0,1.0,1,Q008-C01;Q008-C02
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q008,hybrid,5,True,2,2,1.0,0.2,0.5,1.0,0.5,1.0,1.0,1.0,1,Q008-C01;Q008-C02
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q008,hybrid,10,True,2,2,1.0,0.1,0.5,1.0,0.5,1.0,1.0,1.0,1,Q008-C01;Q008-C02
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q012,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q012,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q012,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q012,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q013,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q013,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q013,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q013,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q014,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q014,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q014,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q014,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q015,hybrid,1,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q015,hybrid,3,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q015,hybrid,5,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q015,hybrid,10,True,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q016,hybrid,1,True,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q016,hybrid,3,True,2,3,1.0,0.3333333333333333,0.5,0.5,0.25,0.3333333333333333,1.0,1.0,1,Q016-C04
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q016,hybrid,5,True,2,3,1.0,0.4,1.0,0.5,0.45,1.0,1.0,1.0,2,Q016-C04;Q016-C05;Q016-C06
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q016,hybrid,10,True,2,3,1.0,0.2,1.0,0.5,0.45,1.0,1.0,1.0,2,Q016-C04;Q016-C05;Q016-C06
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q018,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q018,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q018,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q018,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q019,hybrid,1,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q019,hybrid,3,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q019,hybrid,5,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q019,hybrid,10,True,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q020,hybrid,1,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q020,hybrid,3,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q020,hybrid,5,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q020,hybrid,10,True,6,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q021,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q021,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q021,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,Q021,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
