question_id,original_claim_id,original_claim_text,review_action,final_claim_id,final_claim_text,required_for_complete_answer,reason,evidence_revalidation_required,status,reviewer_type
Q001,Q001-C01,Astenia es el término médico para denominar al cansancio (falta de energía) ya sea físico o emocional.,not_reviewed,Q001-C01,Astenia es el término médico para denominar al cansancio (falta de energía) ya sea físico o emocional.,true,No estaba marcado para revisión de segmentación.,false,active,not_human_reviewed
Q002,Q002-C01,"Si fiebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias para realizar las pruebas pertinentes.",not_reviewed,Q002-C01,"Si fiebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias para realizar las pruebas pertinentes.",true,No estaba marcado para revisión de segmentación.,false,active,not_human_reviewed
Q002,Q002-C02,"Si tiene temperatura de 38º C o más, debe de ir a urgencias.",not_reviewed,Q002-C02,"Si tiene temperatura de 38º C o más, debe de ir a urgencias.",true,No estaba marcado para revisión de segmentación.,false,active,not_human_reviewed
Q002,Q002-C03,"Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.",not_reviewed,Q002-C03,"Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.",true,No estaba marcado para revisión de segmentación.,false,active,not_human_reviewed
Q002,Q002-C04,Una temperatura igual o superior a 38ºC indica la posibilidad de una infección y requiere consultar al médico o enfermera qué se debe hacer en una situación así.,not_reviewed,Q002-C04,Una temperatura igual o superior a 38ºC indica la posibilidad de una infección y requiere consultar al médico o enfermera qué se debe hacer en una situación así.,true,No estaba marcado para revisión de segmentación.,false,active,not_human_reviewed
Q002,Q002-C05,"Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden provocar fiebre.",not_reviewed,Q002-C05,"Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden provocar fiebre.",true,No estaba marcado para revisión de segmentación.,false,active,not_human_reviewed
Q003,Q003-C01,El insomnio es el trastorno más común en los pacientes con cáncer y suele ser secundario a factores físicos y psicológicos relacionados con el cáncer y sus tratamientos.,not_reviewed,Q003-C01,El insomnio es el trastorno más común en los pacientes con cáncer y suele ser secundario a factores físicos y psicológicos relacionados con el cáncer y sus tratamientos.,true,No estaba marcado para revisión de segmentación.,false,active,not_human_reviewed
Q004,Q004-C01,"La mucositis es la inflamación de la mucosa del tracto digestivo que se caracteriza por la aparición de úlceras y/o enrojecimiento, sensación de “quemazón”, etc.",not_reviewed,Q004-C01,"La mucositis es la inflamación de la mucosa del tracto digestivo que se caracteriza por la aparición de úlceras y/o enrojecimiento, sensación de “quemazón”, etc.",true,No estaba marcado para revisión de segmentación.,false,active,not_human_reviewed
Q005,Q005-C01,Suele durar entre 2 y 6 horas.,not_reviewed,Q005-C01,Suele durar entre 2 y 6 horas.,true,No estaba marcado para revisión de segmentación.,false,active,not_human_reviewed
Q006,Q006-C01,La neutropenia es el descenso del número de neutrófilos en sangre por debajo de 1500 células/mm3.,not_reviewed,Q006-C01,La neutropenia es el descenso del número de neutrófilos en sangre por debajo de 1500 células/mm3.,true,No estaba marcado para revisión de segmentación.,false,active,not_human_reviewed
