gold_view,question_id,strategy,k,evaluable_evidence,num_gold_evidence,num_gold_claims,evidence_hit_at_k,evidence_precision_at_k,evidence_recall_at_k,mrr_at_k,ap_at_k,claim_coverage_at_k,document_hit_at_k,page_hit_at_k,retrieved_relevant_evidence,retrieved_claims,experiment_order,experiment_id,experiment_name,or_fallback_k,semantic_weight,lexical_and_weight,lexical_or_weight
human_only,Q002,hybrid,1,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q002,hybrid,3,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q002,hybrid,5,True,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q002,hybrid,10,True,3,5,1.0,0.1,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.4,1.0,1.0,1,Q002-C03;Q002-C05,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q005,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q005,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q005,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q005,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q006,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q006,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q006,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q006,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q008,hybrid,1,True,2,2,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1,Q008-C01;Q008-C02,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q008,hybrid,3,True,2,2,1.0,0.3333333333333333,0.5,1.0,0.5,1.0,1.0,1.0,1,Q008-C01;Q008-C02,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q008,hybrid,5,True,2,2,1.0,0.2,0.5,1.0,0.5,1.0,1.0,1.0,1,Q008-C01;Q008-C02,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q008,hybrid,10,True,2,2,1.0,0.1,0.5,1.0,0.5,1.0,1.0,1.0,1,Q008-C01;Q008-C02,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q012,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q012,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
human_only,Q012,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0
