review_id,question_id,claim_id,evidence_id,question,claim_text,evidence_text,doc_id,page_num,machine_grade,machine_confidence,issue_type,review_question,machine_rationale,human_grade,human_covered_claims,human_decision,human_notes,adjudicator,adjudicated_grade,adjudication_notes
R00001,Q002,Q002-C01,Q002-E0004,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,"Si fiebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias para realizar las pruebas pertinentes.","La recomendación generalizada en general para todos los pacientes con quimioterapia se resume en la siguiente frase: Si fi ebre de más de 38º C, hay que tomar un antipirético (paracetamol, ibuprofeno, metamizol… ) si tras 6-8 horas vuelve a subir la fi ebre, hay que acudir a urgencias par",general_es_gepac_guia-toxicidad-quimioterapia_v1,42,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8333; text_verified_in=DB_snapshot,3,Q002-C01; Q002-C03,accept,La evidencia respalda directamente y de forma completa el claim Q002-C01.,,,
R00002,Q002,Q002-C02,Q002-E0050,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,"Si tiene temperatura de 38º C o más, debe de ir a urgencias.","Si tiene temperatura de 38º C o más, debe de ir a urgen- cias.",general_es_pfizer_manual-pacientes_2007,34,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8571; text_verified_in=PDF,3,Q002-C01; Q002-C02; Q002-C03,accept,La evidencia respalda el claim de manera completa,,,
R00003,Q002,Q002-C03,Q002-E0049,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,"Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.","Si tiene fiebre de 38º C o superior, debe avisar a su médico o ir al hospital.",general_es_pfizer_manual-pacientes_2007,34,3,high,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",claim text appears directly in evidence; best_token_coverage=1.0000; text_verified_in=PDF,3,Q002-C03; Q002-C04,accept,La evidencia respalda el claim de manera completa,,,
R00004,Q002,Q002-C05,Q002-E0048,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,"Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden provocar fiebre.","Hay ocasiones en las que algún medicamento, o la propia enfermedad, pueden pro- vocar fiebre.",general_es_pfizer_manual-pacientes_2007,150,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8750; text_verified_in=PDF,3,Q002-C05; Q002-C03,accept,La evidencia respalda el claim de manera completa,,,
R00005,Q005,Q005-C01,Q005-E0027,¿Cuánto tiempo suele durar una sesión de administración de quimioterapia?,Suele durar entre 2 y 6 horas.,Suele durar entre 2 y 6 horas.,general_es_pfizer_manual-pacientes_2007,33,3,high,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",claim text appears directly in evidence; best_token_coverage=1.0000; text_verified_in=PDF,3,Q005-C01,accept,La evidencia respalda el claim de manera completa,,,
R00006,Q006,Q006-C01,Q006-E0060,¿Qué es la Neutropenia?,La neutropenia es el descenso del número de neutrófilos en sangre por debajo de 1500 células/mm3.,T oxicidad por quimioterapia40 NEUTROPENIA La neutropenia es el descenso del número de neutrófi los en sangre por debajo de 1500 células/mm3.,general_es_gepac_guia-toxicidad-quimioterapia_v1,42,3,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",nearly complete distinctive-token coverage with numeric consistency; best_token_coverage=0.8889; text_verified_in=PDF,3,Q006-C01,accept,La evidencia respalda el claim de manera completa,,,
R00007,Q008,Q008-C01,Q008-E0045,¿En qué momento suele caer el cabello tras el tratamiento?,"Si su tratamiento hace caer el cabello, este caerá aproximadamente a las 3 o 4 semanas de la administración del tratamiento.","Si su tratamiento hace caer el cabello, este caerá aproximadamente a las 3 o 4 semanas de la administración del trata- miento.",general_es_pfizer_manual-pacientes_2007,40,3,high,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",nearly complete distinctive-token coverage with numeric consistency; best_token_coverage=1.0000; text_verified_in=PDF,3,Q008-C01; Q008-C02,accept,La evidencia respalda el claim de manera completa,,,
R00008,Q008,Q008-C02,Q008-E0041,¿En qué momento suele caer el cabello tras el tratamiento?,La caída del cabello suele comenzar a las 2-3 semanas del tratamiento y co mienza a recuperarse a partir de los 3-6 meses del cese de la quimioterapia.,La caída del cabello suele comenzar a las 2-3 semanas del tratamiento y co- mienza a recuperarse a partir de los 3-6 meses del cese de la quimioterapia.,general_es_gepac_guia-toxicidad-quimioterapia_v1,22,3,high,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",nearly complete distinctive-token coverage with numeric consistency; best_token_coverage=1.0000; text_verified_in=PDF,3,Q008-C01; Q008-C02,accept,La evidencia respalda el claim de manera completa,,,
R00009,Q009,Q009-C01,Q009-E0033,¿Qué medicamento de quimioterapia se asocia a la TDA en el cáncer de próstata hormono-sensible meastásica CPHSm?,Docetaxel es el único tratamiento de quimioterapia que se utiliza asociado a la TDA en el CPHSm.,"Tal y como se ha explicado en el CPHSm, Abiraterona es un fármaco oral que inhibe la síntesis de andrógenos y cuyos principales efectos secundarios son la hipertensión arterial, edemas de piernas y el descenso de los niveles de potasio en sangre. 2. Enzalutamida es el único antiandrógeno de nueva generación que ha demostrado beneficio en supervivencia en CPRCm, al igual que Abiraterona, tanto en pacientes previamente tratados con Docetaxel como en pacientes que no han recibido quimioterapia.",prostata_es_seom_cancer-prostata_2025,23,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.7500; text_verified_in=DB_snapshot,0,,reject,,,,
R00010,Q011,Q011-C01,,¿Cuál es el principal efecto adverso de la Apalutamida?,El principal efecto adverso de Apalutamida es la aparición de un rash o exantema en la piel además de leve cansancio.,,,,,,claim_segmentation_review,"Confirm claim segmentation, evidence grade, scope and direct support.",compound_claim_possible;source_evidence_ids=Q011_E01;Q011_E02,,,accept,keep,,,
