experiment_id,question_id,detector_name,detected_language,language_confidence,language_confidence_margin,postgres_ts_config,language_supported,fallback_to_simple,language_note,lexical_and_candidates,lexical_or_candidates_added,lexical_or_fallback_used
or30_moderate_w1_1_05,Q001,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,30,True
or30_moderate_w1_1_05,Q002,lingua,es,0.8550184920884288,0.7602593552419922,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q003,lingua,es,0.9962868884420093,0.9939152201403336,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q004,lingua,es,0.5023770770002836,0.2465973259997607,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q005,lingua,es,0.9970273769242126,0.9943384771704533,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q006,lingua,pt,0.3737812755653444,0.126254757214675,simple,False,True,Language 'pt' is not supported by the retrieval configuration; defaulting to simple.,1,30,True
or30_moderate_w1_1_05,Q007,lingua,es,0.9648094107202966,0.9338514278116503,spanish,True,False,Using PostgreSQL 'spanish' configuration.,1,30,True
or30_moderate_w1_1_05,Q008,lingua,es,0.9569335370712584,0.9228613400012188,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q009,lingua,es,0.9252594169719258,0.856701297460645,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q010,lingua,es,0.6861462506023864,0.4653520633538544,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q011,lingua,es,0.759037624118411,0.6008228191505328,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q012,lingua,es,0.9980758263717245,0.9963854748342713,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q013,lingua,es,0.9804052315346492,0.9621301529255359,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q014,lingua,es,0.3461656514095607,0.03684823522240466,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q015,lingua,es,0.9674789831032703,0.9376902173485979,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q016,lingua,es,0.8887599309692938,0.7831963460061204,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q017,lingua,es,0.7019475450546807,0.5325012781585746,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q018,lingua,es,0.5395854329957137,0.35749980672982784,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q019,lingua,es,0.9382320364740494,0.8820151029804182,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q020,lingua,es,0.7110547867915825,0.43773931440216046,spanish,True,False,Using PostgreSQL 'spanish' configuration.,1,30,True
or30_moderate_w1_1_05,Q021,lingua,es,0.7323824878095176,0.48161382626869315,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q022,lingua,es,0.8314970790835762,0.6791705497586048,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q023,lingua,es,0.8732142855230649,0.7832387730924959,spanish,True,False,Using PostgreSQL 'spanish' configuration.,6,30,True
or30_moderate_w1_1_05,Q024,lingua,es,0.4038276070946192,0.14908831184891413,spanish,True,False,Using PostgreSQL 'spanish' configuration.,8,0,True
or30_moderate_w1_1_05,Q025,lingua,es,0.996411665167681,0.9935958924849968,spanish,True,False,Using PostgreSQL 'spanish' configuration.,2,30,True
or30_moderate_w1_1_05,Q026,lingua,es,0.9655444147609337,0.9458660374065855,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q027,lingua,es,0.9872274913865953,0.9772212623655276,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q028,lingua,es,0.9993825817670207,0.998952051069749,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,30,True
or30_moderate_w1_1_05,Q029,lingua,es,0.381809144815165,0.11546240598716029,spanish,True,False,Using PostgreSQL 'spanish' configuration.,2,0,True
or30_moderate_w1_1_05,Q030,lingua,fr,0.3657331525640725,0.09701302465433803,simple,False,True,Language 'fr' is not supported by the retrieval configuration; defaulting to simple.,0,30,True
or30_moderate_w1_1_05,Q031,lingua,ca,0.3957424041782853,0.09493576754108257,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,30,True
