question_id,detector_name,detected_language,language_confidence,language_confidence_margin,postgres_ts_config,language_supported,fallback_to_simple,language_note,lexical_candidates_returned,lexical_and_candidates,lexical_or_candidates_added,lexical_or_fallback_used,hybrid_candidates_with_lexical_rank
Q001,lingua,ca,0.46487836440664815,0.18713738947308517,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,100,0,100,True,57
Q002,lingua,es,0.8550184920884286,0.7602593552419918,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,55
Q003,lingua,es,0.9962868884420093,0.9939152201403337,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,59
Q004,lingua,es,0.5023770770002831,0.24659732599976003,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,55
Q005,lingua,es,0.9970273769242126,0.9943384771704533,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,59
Q006,lingua,pt,0.37378127556534413,0.1262547572146749,simple,False,True,Language 'pt' is not supported by the retrieval configuration; defaulting to simple.,100,1,99,True,54
Q007,lingua,es,0.9648094107202966,0.9338514278116503,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,1,99,True,64
Q008,lingua,es,0.9569335370712582,0.9228613400012182,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,56
Q009,lingua,es,0.9252594169719259,0.8567012974606454,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,57
Q010,lingua,es,0.6861462506023868,0.4653520633538546,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,59
Q011,lingua,es,0.7590376241184114,0.6008228191505336,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,70
Q012,lingua,es,0.9980758263717245,0.9963854748342713,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,65
Q013,lingua,es,0.980405231534649,0.9621301529255355,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,67
Q014,lingua,es,0.3461656514095607,0.03684823522240466,spanish,True,False,Using PostgreSQL 'spanish' configuration.,40,0,40,True,40
Q015,lingua,es,0.9674789831032703,0.9376902173485979,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,59
Q016,lingua,es,0.8887599309692935,0.7831963460061198,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,63
Q017,lingua,es,0.7019475450546809,0.5325012781585748,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,65
Q018,lingua,es,0.5395854329957134,0.3574998067298276,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,54
Q019,lingua,es,0.9382320364740492,0.8820151029804177,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,68
Q020,lingua,es,0.7110547867915834,0.437739314402162,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,1,99,True,64
Q021,lingua,es,0.732382487809518,0.4816138262686938,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,59
Q022,lingua,es,0.8314970790835762,0.6791705497586047,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,59
Q023,lingua,es,0.8732142855230649,0.7832387730924959,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,6,94,True,60
Q024,lingua,es,0.40382760709461935,0.14908831184891463,spanish,True,False,Using PostgreSQL 'spanish' configuration.,8,8,0,True,8
Q025,lingua,es,0.996411665167681,0.9935958924849968,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,2,98,True,59
Q026,lingua,es,0.9655444147609338,0.9458660374065856,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,66
Q027,lingua,es,0.9872274913865954,0.9772212623655278,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,58
Q028,lingua,es,0.9993825817670207,0.998952051069749,spanish,True,False,Using PostgreSQL 'spanish' configuration.,100,0,100,True,66
Q029,lingua,es,0.3818091448151648,0.11546240598715979,spanish,True,False,Using PostgreSQL 'spanish' configuration.,2,2,0,True,2
Q030,lingua,fr,0.3657331525640725,0.09701302465433803,simple,False,True,Language 'fr' is not supported by the retrieval configuration; defaulting to simple.,100,0,100,True,57
Q031,lingua,ca,0.39574240417828505,0.09493576754108202,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,100,0,100,True,55
