experiment_order,experiment_id,experiment_name,or_fallback_k,semantic_weight,lexical_and_weight,lexical_or_weight,question_id,question,strategy,rank,original_rank,doc_id,chunk_id,page_num,chunk_lang,raw_score,semantic_rank,lexical_rank,semantic_distance,lexical_score,lexical_query_mode,ts_config,rrf_k,candidate_depth,detector_name,detected_language,language_confidence,language_confidence_margin,postgres_ts_config,language_supported,fallback_to_simple,language_note,lexical_and_candidates,lexical_or_candidates_added,lexical_or_fallback_used
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,Q001,¿Qué es la astenia?,hybrid,1,1,prostata_es_gepac_guia-cancer-de-prostata_2020,p014_c00,14,es,0.0315136476426799,2.0,5.0,0.5278962709872801,2.4,or_fallback,simple,60,100,lingua,ca,0.46487836440664765,0.18713738947308445,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,Q001,¿Qué es la astenia?,hybrid,2,2,mama_es_novartis_guia-pacientes-CM_2025,p080_c00,80,es,0.03055037313432836,7.0,4.0,0.6385203301906586,2.4,or_fallback,simple,60,100,lingua,ca,0.46487836440664765,0.18713738947308445,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,Q001,¿Qué es la astenia?,hybrid,3,3,prostata_es_gepac_guia-cancer-de-prostata_2020,p077_c00,77,es,0.02690501986276634,11.0,18.0,0.6510310353077667,2.1000001,or_fallback,simple,60,100,lingua,ca,0.46487836440664765,0.18713738947308445,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,Q001,¿Qué es la astenia?,hybrid,4,4,general_es_pfizer_manual-pacientes_2007,p053_c00,53,es,0.023676099747828524,26.0,23.0,0.683411717414856,2.0,or_fallback,simple,60,100,lingua,ca,0.46487836440664765,0.18713738947308445,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,Q001,¿Qué es la astenia?,hybrid,5,5,general_es_pfizer_manual-pacientes_2007,p083_c00,83,es,0.020908230842005677,91.0,10.0,0.7483374030388945,2.2,or_fallback,simple,60,100,lingua,ca,0.46487836440664765,0.18713738947308445,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,Q001,¿Qué es la astenia?,hybrid,6,6,general_es_gepac_guia-toxicidad-quimioterapia_v1,p039_c00,39,es,0.01986447600482688,73.0,21.0,0.7372243717641369,2.0,or_fallback,simple,60,100,lingua,ca,0.46487836440664765,0.18713738947308445,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,Q001,¿Qué es la astenia?,hybrid,7,7,general_es_pfizer_manual-pacientes_2007,p025_c01,25,es,0.01661433804290947,96.0,38.0,0.7496630549430847,1.9,or_fallback,simple,60,100,lingua,ca,0.46487836440664765,0.18713738947308445,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,Q001,¿Qué es la astenia?,hybrid,8,8,general_es_gepac_guia-toxicidad-quimioterapia_v1,p009_c00,9,es,0.01639344262295082,1.0,,0.5069648623466492,,,simple,60,100,lingua,ca,0.46487836440664765,0.18713738947308445,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,Q001,¿Qué es la astenia?,hybrid,9,9,prostata_es_gepac_guia-cancer-de-prostata_2020,p093_c00,93,es,0.01639344262295082,,1.0,,2.9,or_fallback,simple,60,100,lingua,ca,0.46487836440664765,0.18713738947308445,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,Q001,¿Qué es la astenia?,hybrid,10,10,mama_es_novartis_guia-pacientes-CM_2025,p089_c00,89,es,0.016129032258064516,,2.0,,2.7,or_fallback,simple,60,100,lingua,ca,0.46487836440664765,0.18713738947308445,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,50,True
