question_id,detector_name,detected_language,language_confidence,language_confidence_margin,postgres_ts_config,language_supported,fallback_to_simple,language_note,lexical_candidates_returned,hybrid_candidates_with_lexical_rank
Q001,lingua,ca,0.46487836440664804,0.18713738947308511,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,0
Q002,lingua,es,0.8550184920884288,0.7602593552419922,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q003,lingua,es,0.9962868884420093,0.9939152201403336,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q004,lingua,es,0.5023770770002827,0.2465973259997598,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q005,lingua,es,0.9970273769242126,0.9943384771704533,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q006,lingua,pt,0.3737812755653442,0.1262547572146749,simple,False,True,Language 'pt' is not supported by the retrieval configuration; defaulting to simple.,1,1
Q007,lingua,es,0.9648094107202965,0.9338514278116501,spanish,True,False,Using PostgreSQL 'spanish' configuration.,1,1
Q008,lingua,es,0.9569335370712582,0.9228613400012182,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q009,lingua,es,0.9252594169719268,0.8567012974606469,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q010,lingua,es,0.6861462506023864,0.4653520633538544,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q011,lingua,es,0.7590376241184108,0.6008228191505327,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q012,lingua,es,0.9980758263717245,0.9963854748342713,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q013,lingua,es,0.980405231534649,0.9621301529255355,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q014,lingua,es,0.3461656514095608,0.03684823522240466,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q015,lingua,es,0.9674789831032704,0.937690217348598,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q016,lingua,es,0.8887599309692936,0.7831963460061199,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q017,lingua,es,0.7019475450546814,0.5325012781585752,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q018,lingua,es,0.5395854329957136,0.35749980672982773,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q019,lingua,es,0.9382320364740492,0.8820151029804177,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q020,lingua,es,0.7110547867915826,0.4377393144021606,spanish,True,False,Using PostgreSQL 'spanish' configuration.,1,1
Q021,lingua,es,0.732382487809518,0.4816138262686938,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q022,lingua,es,0.8314970790835752,0.6791705497586029,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q023,lingua,es,0.873214285523065,0.783238773092496,spanish,True,False,Using PostgreSQL 'spanish' configuration.,6,6
Q024,lingua,es,0.4038276070946192,0.14908831184891413,spanish,True,False,Using PostgreSQL 'spanish' configuration.,8,8
Q025,lingua,es,0.996411665167681,0.9935958924849968,spanish,True,False,Using PostgreSQL 'spanish' configuration.,2,2
Q026,lingua,es,0.9655444147609338,0.9458660374065857,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q027,lingua,es,0.9872274913865954,0.9772212623655278,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q028,lingua,es,0.9993825817670207,0.998952051069749,spanish,True,False,Using PostgreSQL 'spanish' configuration.,0,0
Q029,lingua,es,0.38180914481516537,0.11546240598716045,spanish,True,False,Using PostgreSQL 'spanish' configuration.,2,2
Q030,lingua,fr,0.3657331525640725,0.09701302465433803,simple,False,True,Language 'fr' is not supported by the retrieval configuration; defaulting to simple.,0,0
Q031,lingua,ca,0.3957424041782853,0.09493576754108257,simple,False,True,Language 'ca' is not supported by the retrieval configuration; defaulting to simple.,0,0
