experiment_order,experiment_id,experiment_name,or_fallback_k,semantic_weight,lexical_and_weight,lexical_or_weight,gold_view,question_id,strategy,k,evaluable_evidence,num_gold_evidence,num_gold_claims,evidence_hit_at_k,evidence_precision_at_k,evidence_recall_at_k,mrr_at_k,ap_at_k,claim_coverage_at_k,document_hit_at_k,page_hit_at_k,retrieved_relevant_evidence,retrieved_claims
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,Q002,hybrid,1,True,3,5,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.4,1.0,1.0,1,Q002-C03;Q002-C05
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,Q002,hybrid,3,True,3,5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.4,1.0,1.0,1,Q002-C03;Q002-C05
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,Q002,hybrid,5,True,3,5,1.0,0.2,0.3333333333333333,1.0,0.3333333333333333,0.4,1.0,1.0,1,Q002-C03;Q002-C05
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,Q002,hybrid,10,True,3,5,1.0,0.1,0.3333333333333333,1.0,0.3333333333333333,0.4,1.0,1.0,1,Q002-C03;Q002-C05
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,Q005,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,Q005,hybrid,3,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,Q005,hybrid,5,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,Q005,hybrid,10,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,Q006,hybrid,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,Q006,hybrid,3,True,1,1,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1,Q006-C01
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,Q006,hybrid,5,True,1,1,1.0,0.2,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1,Q006-C01
