question_id,evidence_id,claim_id,relevance_grade,support_type,review_status,reviewer_type,status,adjudication_status
Q001,Q001-E0004,Q001-C01,3,direct_and_sufficient,machine_only_unreviewed,machine_proposed,provisional_machine_judgment_not_human_reviewed,not_adjudicated
Q002,Q002-E0004,Q002-C01,3,direct_and_sufficient,human_reviewed,single_human_reviewer,human_reviewed_single_reviewer,not_adjudicated
Q002,Q002-E0004,Q002-C03,3,direct_and_sufficient,human_reviewed,single_human_reviewer,human_reviewed_single_reviewer,not_adjudicated
Q002,Q002-E0005,Q002-C01,3,direct_and_sufficient,machine_only_unreviewed,machine_proposed,provisional_machine_judgment_not_human_reviewed,not_adjudicated
Q002,Q002-E0011,Q002-C02,3,direct_and_sufficient,machine_only_unreviewed,machine_proposed,provisional_machine_judgment_not_human_reviewed,not_adjudicated
Q002,Q002-E0011,Q002-C03,3,direct_and_sufficient,machine_only_unreviewed,machine_proposed,provisional_machine_judgment_not_human_reviewed,not_adjudicated
Q002,Q002-E0031,Q002-C04,3,direct_and_sufficient,machine_only_unreviewed,machine_proposed,provisional_machine_judgment_not_human_reviewed,not_adjudicated
Q002,Q002-E0031,Q002-C05,3,direct_and_sufficient,machine_only_unreviewed,machine_proposed,provisional_machine_judgment_not_human_reviewed,not_adjudicated
Q002,Q002-E0048,Q002-C05,3,direct_and_sufficient,human_reviewed,single_human_reviewer,human_reviewed_single_reviewer,not_adjudicated
Q002,Q002-E0048,Q002-C03,3,direct_and_sufficient,human_reviewed,single_human_reviewer,human_reviewed_single_reviewer,not_adjudicated
Q002,Q002-E0049,Q002-C03,3,direct_and_sufficient,human_reviewed,single_human_reviewer,human_reviewed_single_reviewer,not_adjudicated
Q002,Q002-E0049,Q002-C04,3,direct_and_sufficient,human_reviewed,single_human_reviewer,human_reviewed_single_reviewer,not_adjudicated
Q002,Q002-E0050,Q002-C01,3,direct_and_sufficient,human_reviewed,single_human_reviewer,human_reviewed_single_reviewer,not_adjudicated
Q002,Q002-E0050,Q002-C02,3,direct_and_sufficient,human_reviewed,single_human_reviewer,human_reviewed_single_reviewer,not_adjudicated
Q002,Q002-E0050,Q002-C03,3,direct_and_sufficient,human_reviewed,single_human_reviewer,human_reviewed_single_reviewer,not_adjudicated
Q003,Q003-E0009,Q003-C01,3,direct_and_sufficient,machine_only_unreviewed,machine_proposed,provisional_machine_judgment_not_human_reviewed,not_adjudicated
Q004,Q004-E0001,Q004-C01,3,direct_and_sufficient,machine_only_unreviewed,machine_proposed,provisional_machine_judgment_not_human_reviewed,not_adjudicated
