question_id,question,strategy,rank,original_rank,doc_id,chunk_id,page_num,chunk_lang,raw_distance,raw_score,detected_language,rrf_k
Q001,¿Qué es la astenia?,semantic,1,1,general_es_gepac_guia-toxicidad-quimioterapia_v1,p009_c00,9,es,0.5069648623466492,,,
Q001,¿Qué es la astenia?,semantic,2,2,prostata_es_gepac_guia-cancer-de-prostata_2020,p014_c00,14,es,0.5278962709872801,,,
Q001,¿Qué es la astenia?,semantic,3,3,general_es_gepac_guia-toxicidad-quimioterapia_v1,p004_c00,4,es,0.6092796921730042,,,
Q001,¿Qué es la astenia?,semantic,4,4,mama_es_hureinasofia_protocolo-cancer-mama_2021,p034_c00,34,es,0.6136918067932129,,,
Q001,¿Qué es la astenia?,semantic,5,5,prostata_es_gepac_guia-cancer-de-prostata_2020,p177_c00,177,es,0.6268676817417145,,,
Q001,¿Qué es la astenia?,semantic,6,6,prostata_es_gepac_guia-cancer-de-prostata_2020,p192_c00,192,es,0.6298617201961105,,,
Q001,¿Qué es la astenia?,semantic,7,7,mama_es_novartis_guia-pacientes-CM_2025,p080_c00,80,es,0.6385203301906586,,,
Q001,¿Qué es la astenia?,semantic,8,8,prostata_es_gepac_guia-cancer-de-prostata_2020,p175_c00,175,es,0.6412604833400531,,,
Q001,¿Qué es la astenia?,semantic,9,9,prostata_es_esmo_guia-para-pacientes_2022,p007_c00,7,es,0.6422080993652344,,,
Q001,¿Qué es la astenia?,semantic,10,10,mama_es_esmo_guia-para-pacientes_v1,p071_c01,71,es,0.6440264880657196,,,
Q001,¿Qué es la astenia?,hybrid,1,1,general_es_gepac_guia-toxicidad-quimioterapia_v1,p009_c00,9,es,,0.01639344262295082,,60.0
Q001,¿Qué es la astenia?,hybrid,2,2,prostata_es_gepac_guia-cancer-de-prostata_2020,p014_c00,14,es,,0.016129032258064516,,60.0
Q001,¿Qué es la astenia?,hybrid,3,3,general_es_gepac_guia-toxicidad-quimioterapia_v1,p004_c00,4,es,,0.015873015873015872,,60.0
Q001,¿Qué es la astenia?,hybrid,4,4,mama_es_hureinasofia_protocolo-cancer-mama_2021,p034_c00,34,es,,0.015625,,60.0
Q001,¿Qué es la astenia?,hybrid,5,5,prostata_es_gepac_guia-cancer-de-prostata_2020,p177_c00,177,es,,0.015384615384615385,,60.0
Q001,¿Qué es la astenia?,hybrid,6,6,prostata_es_gepac_guia-cancer-de-prostata_2020,p192_c00,192,es,,0.015151515151515152,,60.0
Q001,¿Qué es la astenia?,hybrid,7,7,mama_es_novartis_guia-pacientes-CM_2025,p080_c00,80,es,,0.014925373134328358,,60.0
Q001,¿Qué es la astenia?,hybrid,8,8,prostata_es_gepac_guia-cancer-de-prostata_2020,p175_c00,175,es,,0.014705882352941176,,60.0
Q001,¿Qué es la astenia?,hybrid,9,9,prostata_es_esmo_guia-para-pacientes_2022,p007_c00,7,es,,0.014492753623188406,,60.0
Q001,¿Qué es la astenia?,hybrid,10,10,mama_es_esmo_guia-para-pacientes_v1,p071_c01,71,es,,0.014285714285714285,,60.0
Q001,¿Qué es la astenia?,language_aware_hybrid,1,1,general_es_gepac_guia-toxicidad-quimioterapia_v1,p009_c00,9,es,,0.01639344262295082,,60.0
Q001,¿Qué es la astenia?,language_aware_hybrid,2,2,prostata_es_gepac_guia-cancer-de-prostata_2020,p014_c00,14,es,,0.016129032258064516,,60.0
Q001,¿Qué es la astenia?,language_aware_hybrid,3,3,general_es_gepac_guia-toxicidad-quimioterapia_v1,p004_c00,4,es,,0.015873015873015872,,60.0
Q001,¿Qué es la astenia?,language_aware_hybrid,4,4,mama_es_hureinasofia_protocolo-cancer-mama_2021,p034_c00,34,es,,0.015625,,60.0
Q001,¿Qué es la astenia?,language_aware_hybrid,5,5,prostata_es_gepac_guia-cancer-de-prostata_2020,p177_c00,177,es,,0.015384615384615385,,60.0
Q001,¿Qué es la astenia?,language_aware_hybrid,6,6,prostata_es_gepac_guia-cancer-de-prostata_2020,p192_c00,192,es,,0.015151515151515152,,60.0
Q001,¿Qué es la astenia?,language_aware_hybrid,7,7,mama_es_novartis_guia-pacientes-CM_2025,p080_c00,80,es,,0.014925373134328358,,60.0
Q001,¿Qué es la astenia?,language_aware_hybrid,8,8,prostata_es_gepac_guia-cancer-de-prostata_2020,p175_c00,175,es,,0.014705882352941176,,60.0
Q001,¿Qué es la astenia?,language_aware_hybrid,9,9,prostata_es_esmo_guia-para-pacientes_2022,p007_c00,7,es,,0.014492753623188406,,60.0
Q001,¿Qué es la astenia?,language_aware_hybrid,10,10,mama_es_esmo_guia-para-pacientes_v1,p071_c01,71,es,,0.014285714285714285,,60.0
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,semantic,1,1,general_es_pfizer_manual-pacientes_2007,p150_c00,150,es,0.44293095341530353,,es,
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,semantic,2,2,mama_es_esmo_guia-para-pacientes_v1,p059_c01,59,es,0.5034861414585647,,es,
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,semantic,3,3,mama_es_novartis_guia-pacientes-CM_2025,p118_c00,118,es,0.5070213524394804,,es,
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,semantic,4,4,general_es_pfizer_manual-pacientes_2007,p071_c01,71,es,0.5308601576602553,,es,
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,semantic,5,5,general_es_gepac_guia-toxicidad-quimioterapia_v1,p013_c01,13,es,0.5320085464723596,,es,
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,semantic,6,6,general_es_pfizer_manual-pacientes_2007,p057_c01,57,es,0.5342583219485972,,es,
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,semantic,7,7,mama_es_novartis_guia-pacientes-CM_2025,p054_c00,54,es,0.5522705120798438,,es,
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,semantic,8,8,mama_es_novartis_guia-pacientes-CM_2025,p020_c01,20,es,0.5530794396078735,,es,
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,semantic,9,9,mama_es_novartis_guia-pacientes-CM_2025,p022_c01,22,es,0.55734862899917,,es,
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,semantic,10,10,general_es_pfizer_manual-pacientes_2007,p107_c00,107,es,0.5671933760402611,,es,
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,hybrid,1,1,general_es_pfizer_manual-pacientes_2007,p150_c00,150,es,,0.01639344262295082,es,60.0
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,hybrid,2,2,mama_es_esmo_guia-para-pacientes_v1,p059_c01,59,es,,0.016129032258064516,es,60.0
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,hybrid,3,3,mama_es_novartis_guia-pacientes-CM_2025,p118_c00,118,es,,0.015873015873015872,es,60.0
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,hybrid,4,4,general_es_pfizer_manual-pacientes_2007,p071_c01,71,es,,0.015625,es,60.0
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,hybrid,5,5,general_es_gepac_guia-toxicidad-quimioterapia_v1,p013_c01,13,es,,0.015384615384615385,es,60.0
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,hybrid,6,6,general_es_pfizer_manual-pacientes_2007,p057_c01,57,es,,0.015151515151515152,es,60.0
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,hybrid,7,7,mama_es_novartis_guia-pacientes-CM_2025,p054_c00,54,es,,0.014925373134328358,es,60.0
Q002,¿Qué debe hacer un paciente si tiene una temperatura de 38º o más?,hybrid,8,8,mama_es_novartis_guia-pacientes-CM_2025,p020_c01,20,es,,0.014705882352941176,es,60.0
