question_id,candidate_id,evidence_id,doc_id,chunk_id,page_num,source,lang,content,normalized_text_sha256,retrieved_by,best_rank_semantic,best_rank_lexical,best_rank_hybrid,best_rank_language_aware,found_manually,document_only,ingestion_gap,original_gold_candidate
Q001,Q001-P00059,Q001-E0001,general_es_gepac_guia-toxicidad-quimioterapia_v1,p004_c00,,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"Editor:
Grupo Español de Pacientes con Cáncer (GEPAC).
El Grupo Español de Pacientes con Cáncer (GEPAC) es una organización independiente, sin ánimo de lucro y cuenta con inscripción defi nitiva desde el 1 de septiembre de 2010 en el registro
nacional de asociaciones con número 595854. La asociación está compuesta por diferentes organizaciones de pacientes oncológicos que se han unido para compartir recursos y experiencias
y para tener una sola voz ante los diferentes agentes sociales y los sistemas de salud.
Contacto:
Grupo Español de Pacientes con Cáncer (GEPAC)
C/ Santa Hortensia, 15 - Ofi cina K - 28002 Madrid
Teléfono: 91 563 18 01 Fax: 91 141 01 14
Página Web: www.gepac.es Correo Electrónico: info@gepac.es
Con la colaboración de:
Este folleto gratuito puede solicitarse a través de las organizaciones mencionadas en la página 54.
Exoneración de responsabilidad:
La exactitud de la información médica contenida en este folleto ha sido revisada por reconocidos profesionales. El folleto no pretende ser exhaustivo y no persigue el objetivo de sustituir las
recomendaciones o los tratamientos prescritos por especialistas sanitarios. Para el uso de la sustancia es determinante exclusivamente la dosifi cación descrita en la información actual con las
indicaciones autorizadas. Instamos a todos los lectores y lectoras a seguir las recomendaciones
médicas y psicológicas de los profesionales correspondientes.
Respuestas que importan.",40c10ff067eeaf6a21e3ec4b306f6cef94b9b7a502a4dfca140ac496b40d8849,semantic_search_persisted,3,,,,false,false,false,false
Q001,Q001-P00030,Q001-E0002,general_es_gepac_guia-toxicidad-quimioterapia_v1,p007_c00,7,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"Índice
 1. ASTENIA ................................................................................................. 7

 Tratamiento de la astenia ......................................................................... 7

 Consejos sobre hábitos de vida en la astenia ........................................... 7
 2. NÁUSEAS Y VÓMITOS ............................................................................ 8

 Tratamiento de las náuseas y vómitos .................................................... 10

 Consejos para los pacientes ................................................................... 11
 3. MUCOSITIS .......................................................................................... 12

 Tratamiento de la mucositis ................................................................... 12

 Consejos para los pacientes ................................................................... 13
 4. DIARREA ............................................................................................... 14

 Tratamiento de la diarrea ....................................................................... 14

 Consejos para los pacientes ................................................................... 15
 5. ESTREÑIMIENTO .................................................................................. 15

 Tratamiento del estreñimiento ............................................................... 15

 Consejos para los pacientes ................................................................... 16
 6. ESOFAGITITIS .........................................",5b83b2721b3c137121a5e896ea60f52a05a22736b509b344a77ff28721de739a,lexical_spanish,,2,,,false,false,false,false
Q001,Q001-P00010,Q001-E0003,general_es_gepac_guia-toxicidad-quimioterapia_v1,p008_c01,8,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"................................................................... 39

 Tratamiento de la neutropenia ............................................................... 40

 Tratamiento de la trombopenia .............................................................. 42
 22. TRASTORNOS COGNITIVOS ............................................................... 43

 Tratamiento de los trastornos cognitivos ................................................ 44

 Consejos para los pacientes ................................................................... 45
 23. TRASTORNOS DEL SUEÑO .................................................................. 45

 Tratamiento de las alteraciones del sueño .............................................. 46

 Consejos para pacientes ........................................................................ 46

 Tratamiento farmacológico .................................................................... 46
 24. TOXICIDAD TARDÍA ............................................................................ 47
 25. SEGUNDAS NEOPLASIAS QUIMIOINDUCIDAS ................................. 48
 26. DOLOR ONCOLÓGICO ...................................................................... 49

 Tratamiento del dolor oncológico .......................................................... 51

 Consejos para pacientes ........................................................................ 52

 Sobre GEPAC ........................................................................................ 52

 Sobre AEAL ........................................................",b4111eaa6c20334d001e8eb9ae09c8266e080cf90202648e18a5f9ca82d31175,gold_document_verification,,,,,true,false,false,true
Q001,Q001-P00006;Q001-P00007;Q001-P00009;Q001-P00021;Q001-P00029;Q001-P00057,Q001-E0004,general_es_gepac_guia-toxicidad-quimioterapia_v1,p009_c00,9,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"1. ASTENIA
Astenia es el término médico para denominar al cansancio (falta de energía) ya
sea físico o emocional. Al tratarse de un efecto secundario subjetivo, es muy
importante que el paciente informe de su presencia. El paciente puede experimentar incapacidad para realizar su actividad física habitual, difi cultad para
concentrarse, cansancio que no disminuye pese al descanso…
Tratamiento de la astenia
La utilización de fármacos para tratar la astenia es controvertido. Entre los fármacos que han demostrado utilidad son:
• Corticoides: Producen una mejoría rápida de la astenia. Pueden producir
además sensación de euforia y aumento de apetito. Sin embargo, no se recomienda su utilización de forma prolongada por los posibles efectos secundarios a largo plazo como son osteoporosis, atrofi a muscular, síndrome de
Cushing, diabetes corticoidea, infecciones…
• Progestágenos: Acetato de megestrol.
Mejora el apetito, disminuyendo la sensación de astenia y aumentado el
peso. El efecto de este fármaco tarda varios días en aparecer. Tiene un riesgo
aumentado de aparición de fenómenos tromboembólicos.
• Psicoestimulantes: Proporcionan sensación de bienestar. Son útiles para contrarrestar los efectos secundarios de los opiáceos. De escasa utilidad en la
práctica clínica por sus efectos secundarios: alteraciones emocionales, insomnio, alucinaciones.
• Tratamientos complementarios:
Existen estudios que han sugerido cierto benefi cio de los tratamientos con
Ginseng.
Consejos sobre hábitos de vida para disminuir la astenia
1. Hacer una lista de las actividades que desea realizar, establec",1d204beead998d70cfdffa373de6d8748a873edde4306385ea2a07152aa1909b,document_exact_claim;existing_gold_db_chunk;gold_document_verification;lexical_claim_snapshot;lexical_spanish;semantic_search_persisted,1,1,,,true,false,false,true
Q001,Q001-P00008;Q001-P00043,Q001-E0005,general_es_gepac_guia-toxicidad-quimioterapia_v1,p009_c01,9,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"estudios que han sugerido cierto benefi cio de los tratamientos con
Ginseng.
Consejos sobre hábitos de vida para disminuir la astenia
1. Hacer una lista de las actividades que desea realizar, estableciendo
prioridades.
2. Solicite ayuda y comparta o delegue tareas en familiares y amigos.
3. Es muy importante mantener una rutina diaria estructurada. Se recomienda
llevar un diario de las actividades cotidianas.",9523a2981fef432cbed60bddfcb6ada7ed4c51f0fef524bc6b56549a5879a15d,existing_gold_db_chunk;lexical_spanish,,15,,,false,false,false,true
Q001,Q001-P00044,Q001-E0006,general_es_gepac_guia-toxicidad-quimioterapia_v1,p040_c00,40,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"Toxicidad por quimioterapia
anemia dependerán de su grado (cansancio o astenia, palidez de las mucosas, fatiga o disnea... y en casos más graves insufi ciencia cardíaca).
B. Glóbulos blancos o leucocitos: Son las comúnmente conocidas como las
""defensas"" del organismo. Existen distintos tipos de glóbulos blancos:
• Neutrófi los o segmentados: protegen de la mayoría de las infecciones.
• Linfocitos B: producen anticuerpos destruyendo gérmenes específi cos.
• Linfocitos T: atacan los gérmenes y activan otras células para participar en la respuesta defensiva.
La disminución de los glóbulos blancos dará lugar a la leucopenia.
C. Plaquetas: Actúan evitando el sangrado al formar coágulos. La quimioterapia
puede producir disminución de plaquetas, lo que se conoce como plaquetopenia o trombopenia, la cual predispone a mayor riesgo de hemorragias.
Cuando disminuyen las 3 series de células sanguíneas (glóbulos rojos, blancos y plaquetas), se conoce con el nombre de aplasia medular.
La mielotoxicidad, al igual que muchas toxicidades producidas por el tratamiento quimioterápico se clasifi can en grados:
GRADO 1
GRADO 2
GRADO 3
GRADO 4
Hemoglobina
(Anemia)
Normal-10 g/dl
10-8 g/dl
8-6,5 g/dl
<6,5 g/dl
Leucocitos
(Leucopenia)
Normal-3000/mm3
3000-2000/mm3
2000-1000/mm3
<1000/mm3
Neutrófi los
(Neutropenia)
Normal-1500/mm3
1500-1000/mm3
1000-500/mm3
<500/mm3
Plaquetas
(Trombopenia)
Normal-75000/mm3
75000-50000/mm3
50000-25000/mm3
<25000/mm3
Tabla 21.1. Grados de anemia, leucopenia, neutropenia y trombopenia (mielotoxicidad).
ANEMIA
Es una toxicidad muy frecuente. Se defi ne como disminución",3d8bcd5300e5496750f303e80093b2091b2100a4650b526e1581ac7cab2eae33,lexical_spanish,,16,,,false,false,false,false
Q001,Q001-P00045,Q001-E0007,general_es_gepac_guia-toxicidad-quimioterapia_v1,p041_c00,41,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_gepac_guia-toxicidad-quimioterapia_v1.pdf,es,"La incidencia de anemia en el paciente en tratamiento quimioterápico va a depender de diversos factores tales como:
• Tipo y dosis de quimioterápico utilizado.
• Tipo de tumor (más frecuente en linfomas, pulmón, ovario, genitourinario).
• Edad y comorbilidades asociados del paciente.
La clínica va a depender del grado de severidad y la velocidad de instauración
(cuanto más rápido se instaure la anemia, peor tolerancia a ésta): cansancio o
astenia, palidez mucocutánea, cefalea, insufi ciencia cardíaca, incluso angina de
pecho en casos muy severos de anemia.
Tratamiento de la anemia:
En el tratamiento de la anemia del paciente con cáncer podemos administrar
dependiendo del grado de severidad de la anemia y de la sintomatología del
paciente:
A. Transfusiones de sangre:
Son muy efectivas y tienen un efecto rápido en la subida de la Hemoglobina
y en el control de los síntomas. Entre sus aspectos negativos está la corta duración de su efecto y los posibles riesgos asociados a su empleo (infecciones
víricas o reacciones inmunes).
B. Eritropoyetina (EPO):
Es una hormona sintetizada de forma fi siológica mayoritariamente en el hígado y en menor cantidad en el riñón. Su función es la estimulación de las
células progenitoras de la médula hematopoyética para la producción de
glóbulos rojos.
En pacientes con cáncer existe una producción de EPO endógena insufi ciente. Su utilización exógena permite disminuir el número de transfusiones.
Tiene un efecto de subida de hemoglobina más lento. Se suele utilizar en
pacientes con Hb en torno al 10. Antes de su utilización el médico debe
descartar",9c47daeb77dab4476fd31fa129d05661225067a57c78094f7fa7462a2c00fce8,lexical_spanish,,17,,,false,false,false,false
Q001,Q001-P00005;Q001-P00023,Q001-E0008,general_es_pfizer_manual-pacientes_2007,p072_c00,72,C:\Users\mamen\Documents\Python\RAGChatBot\docs\general\general_es_pfizer_manual-pacientes_2007.pdf,es,"tos (quimioterapia, radioterapia), la inactividad, las alteraciones del sueño,
factores psicológicos, nutrición, etc.
Sus manifestaciones pueden ser de naturaleza física, mental o emocional y los pacientes suelen describirla como una sensación de cansancio,
pesadez, debilidad, agotamiento, falta de energía, dificultad para realizar
las tareas diarias, etc.
A pesar de ser un síntoma frecuente para el que existe tratamiento,
muchos pacientes no lo comunican a su médico por creer que es normal
experimentarlo durante el curso de la enfermedad. Nada más lejos de la
realidad: el convivir con la fatiga le va a impedir el poder llevar una vida
normal, dificultando las actividades diarias, el mantener relaciones sociales
y además puede incluso interferir en el proceso normal del tratamiento
médico. En definitiva, le va a afectar su calidad de vida.
Además de los tratamientos farmacológicos, las dietas y los ejercicios,
ciertos cambios en el estilo de vida le ayudarán a aliviar la fatiga.
EFECTOS PSICOLÓGICOS DE LA FATIGA
Si tiene fatiga es muy posible que su autoestima se resienta al verse
impotente para realizar las tareas que antes hacía. Del mismo modo,
puede tener dificultad para concentrarse o para sentir interés por lo que
le rodea.
El tratamiento de la fatiga reducirá el riesgo de que aparezca una depresión. Aunque la ansiedad y depresión son trastornos psicológicos que habitualmente se acompañan de fatiga, es importante saber, sin embargo, que
fatiga no es sinónimo de depresión: una persona puede estar fatigada y no
deprimida.
La inactividad y los trastornos de sueño, tambié",fda6acf44d97d64733f0499b0098395532e4069ba8c6d5a580d1d759a160b867,document_claim_search;lexical_claim_snapshot,,3,,,true,false,false,false
Q001,Q001-P00031,Q001-E0009,mama_es_esmo_guia-para-pacientes_v1,p041_c00,41,C:\Users\mamen\Documents\Python\RAGChatBot\docs\mama\mama_es_esmo_guia-para-pacientes_v1.pdf,es,"MEDICAMENTO DE
QUIMIOTERAPIA
POSIBLES EFECTOS
SECUNDARIOS
CÓMO PUEDEN CONTROLARSE LOS EFECTOS
SECUNDARIOS
Capecitabina
(Xeloda, RCP, 2017)
•	 Anorexia
•	 Astenia
•	 Diarrea
•	 Dolor abdominal
•	 Estomatitis
•	 Fatiga
•	 Náuseas
•	 Síndrome mano-pie
•	 Vómitos
•	 Los efectos en el sistema gastrointestinal (náuseas, vómitos,
diarrea o dolor abdominal) y la estomatitis pueden provocar
la pérdida del apetito (anorexia) o sensación de debilidad
(astenia). Su médico podrá ayudarle a prevenir o controlar estos
efectos secundarios. La diarrea puede ser un efecto secundario
temporal y leve, pero si es grave, su médico puede recetarle un
medicamento antidiarreico.
•	 Para prevenir y tratar la estomatitis puede mantener una buena
higiene oral usando un enjuague bucal con esteroides y una
pasta dental suave. La pasta dental con esteroides se puede
utilizar para tratar las úlceras en desarrollo. En el caso de
estomatitis más grave (de grado 2 o superior), su médico podrá
sugerir que se reduzca la dosis del tratamiento o que se retrase la
terapia hasta que la estomatitis se resuelva, pero en la mayoría
de los casos los síntomas serán leves y remitirán una vez haya
terminado el tratamiento.
•	 Para prevenir y tratar el síndrome mano-pie puede intentar
mantener las manos y los pies frescos exponiéndolos al agua
fría (poniéndolos en remojo, bañándose o nadando), evitando
el exceso de calor y el agua caliente y manteniéndolos sin
restricciones (sin calcetines, guantes ni zapatos que se ajusten
apretándolos). Su esquema de tratamiento puede necesitar
ajustes si experimenta un síndrome mano-pi",0caf8b02100b2ad01681c2b3e7a966c0c725638bf70386f0ebb0850416c8bb53,lexical_spanish,,3,,,false,false,false,false
Q001,Q001-P00032,Q001-E0010,mama_es_esmo_guia-para-pacientes_v1,p043_c00,43,C:\Users\mamen\Documents\Python\RAGChatBot\docs\mama\mama_es_esmo_guia-para-pacientes_v1.pdf,es,"MEDICAMENTO DE
QUIMIOTERAPIA
POSIBLES EFECTOS
SECUNDARIOS
CÓMO PUEDEN CONTROLARSE LOS EFECTOS
SECUNDARIOS
Docetaxel
(Taxotere RCP, 2005)
•	 Alopecia
•	 Anemia
•	 Anorexia
•	 Astenia
•	 Aumento de las
infecciones
•	 Daño tisular relacionado
con la extravasación
•	 Diarrea
•	 Edema
•	 Estomatitis
•	 Náuseas
•	 Neuropatía periférica
•	 Neutropenia
•	 Reacción cutánea
•	 Trastornos de las uñas
•	 Trombocitopenia
•	 Vómitos
•	 Sus recuentos de glóbulos sanguíneos se monitorearán
frecuentemente durante el tratamiento con el fin de detectar
la aparición de neutropenia, anemia o trombocitopenia.
Su médico podrá ajustar su tratamiento de acuerdo con los
resultados de las pruebas y le asesorará sobre cómo prevenir
las infecciones.
•	 Informe de cualquier signo de neuropatía periférica a su
médico, él le ayudará a controlar este efecto secundario.
•	 Los efectos en el sistema gastrointestinal (náuseas, vómitos
y diarrea) y la estomatitis pueden provocar la pérdida del
apetito (anorexia) o sensación de debilidad (astenia). Su
médico podrá ayudarle a prevenir o controlar estos efectos
secundarios.
•	 Informe a su médico si experimenta algún cambio en las
uñas, reacciones cutáneas o retención de líquidos/hinchazón
(edema), él le ayudará a controlar estos efectos secundarios.
•	 La alopecia puede causar angustia a muchas/os pacientes,
su médico le proporcionará información sobre cómo lidiar
con este efecto secundario. Algunos hospitales pueden
proporcionar gorros fríos para reducir la pérdida de cabello.
•	 Informe a su médico si experimenta alguna quemadura o
cambios en la piel en el sit",a8c1e2e665d894a9170cc21d03d670ec5666054686abfd6782cef232590de5ea,lexical_spanish,,4,,,false,false,false,false
